patric_id						KO					COG	COG_function
fig|31899.10.peg.89|SAMN05216182_0021	521460.Athe_2552	2.30E-198	650.4		"GO:0005575,GO:0016020"	K17320		bactNOG[38]	"05DUB@bactNOG,0EQCK@cloNOG,0ND9R@firmNOG,0XNPF@NOG"	05DUB|4.60373027588e-129|432.886779785	P	Binding-protein-dependent transport systems inner membrane component
fig|31899.10.peg.90|SAMN05216182_0022	521460.Athe_2553	1.80E-206	680.4		"GO:0005575,GO:0016020"	K17319		bactNOG[38]	"05EEA@bactNOG,0EQVD@cloNOG,0NG97@firmNOG,COG4209@NOG"	05EEA|7.25788609172e-126|422.548675537	G	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.91|SAMN05216182_0023	521460.Athe_2554	0	1270.3			"K02027,K17318"		bactNOG[38]	"089Z2@bactNOG,0EQFN@cloNOG,0NEHE@firmNOG,0ZS3T@NOG"	089Z2|4.42788455047e-208|695.305603027	G	extracellular solute-binding protein family 1
fig|31899.10.peg.92|SAMN05216182_0024	521460.Athe_2555	2.10E-239	787.3			K18785		bactNOG[38]	"05CKB@bactNOG,0EQ88@cloNOG,0NDTF@firmNOG,COG2152@NOG"	05CKB|2.84816635405e-120|405.863616943	G	glycosidase
fig|31899.10.peg.93|SAMN05216182_0025	521460.Athe_2556	1.10E-214	703.4			"K02529,K03604"		bactNOG[38]	"0892T@bactNOG,0EREY@cloNOG,0NE8R@firmNOG,COG1609@NOG"	0892T|1.20233140627e-119|402.306884766	K	Transcriptional regulator (LacI family
fig|31899.10.peg.94|SAMN05216182_0026	521460.Athe_2557	5.00E-273	897.8		"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"K01787,K16213"		bactNOG[38]	"05DFY@bactNOG,0EQWE@cloNOG,0NFAN@firmNOG,COG2942@NOG"	05DFY|4.222100474e-160|535.942871094	G	n-acylglucosamine 2-epimerase
fig|31899.10.peg.95|SAMN05216182_0027	521460.Athe_2558	1.30E-152	496.3					bactNOG[38]	"09097@bactNOG,0ETN9@cloNOG,0NK1G@firmNOG,11PRW@NOG"	09097|3.15481488409e-74|252.11567688	S	Trehalose utilisation
fig|31899.10.peg.96|SAMN05216182_0028	521460.Athe_2559	2.60E-102	330.3	GLOA		K05606		bactNOG[38]	"081Q3@bactNOG,0ETIN@cloNOG,0NKA8@firmNOG,11RU7@NOG"	081Q3|5.16336946221e-65|221.23475647	S	Lactoylglutathione lyase
fig|31899.10.peg.97|SAMN05216182_0029	649639.Bcell_1998	5.00E-118	385.2	ATPASE		K03924		bactNOG[38]	"04SEG@bacNOG,05C7R@bactNOG,0NDS4@firmNOG,COG0714@NOG"	04SEG|3.81145608784e-141|474.156738281	S	"ATPase associated with various cellular activities, AAA_3"
fig|31899.10.peg.98	483219.LILAB_18585	0	1221.6	SCLAV_5304				bactNOG[38]	"05CR9@bactNOG,0GCNC@delNOG,0HE4K@dproNOG,16SFY@proNOG,COG5184@NOG"	05CR9|2.98747364706e-25|91.9613876343	"D, Z"	"regulator of chromosome condensation, RCC1"
fig|31899.10.peg.100	436114.SYO3AOP1_1122	8.20E-24	73.6	TRA905	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K07493		bactNOG[38]	"02GG7@aquNOG,05D5G@bactNOG,COG3328@NOG"	02GG7|7.69390123556e-21|77.1006011963	L	transposase mutator type
fig|31899.10.peg.102	509191.AcelC_020100021488	5.00E-33	102.6					bactNOG[38]	"07EI8@bactNOG,COG3210@NOG"	07EI8|2.1752022318e-29|104.893928528	U	Inherit from COG: filamentous hemagglutinin family outer membrane protein
fig|31899.10.peg.104|SAMN05216182_0033	509191.AcelC_020100009593	6.50E-24	74.9			K07216		bactNOG[38]	"08JRG@bactNOG,0F7EV@cloNOG,0P6QD@firmNOG,11KT7@NOG"	08JRG|5.36569187682e-25|90.8152084351	S	"hemerythrin-like, metal-binding protein"
fig|31899.10.peg.106|SAMN05216182_0034	483219.LILAB_04265	0	1267.8	SCLAV_5304				bactNOG[38]	"05CR9@bactNOG,0GCNC@delNOG,0HE4K@dproNOG,16SFY@proNOG,COG5184@NOG"	05CR9|5.08556381586e-82|273.971099854	"D, Z"	"regulator of chromosome condensation, RCC1"
fig|31899.10.peg.107|SAMN05216182_0035	521460.Athe_2566	0	1085.9					bactNOG[38]	"060DI@bactNOG,0F13D@cloNOG,0NY14@firmNOG,0XU4E@NOG"	060DI|7.044402295e-156|521.649108887	S	NA
fig|31899.10.peg.108|SAMN05216182_0036	521460.Athe_2567	0	1570.7					bactNOG[38]	"05YIQ@bactNOG,0F45J@cloNOG,0P2CE@firmNOG,126JQ@NOG"	05YIQ|4.93663616724e-61|210.07975769	S	domain protein
fig|31899.10.peg.110|SAMN05216182_0037	509191.AcelC_020100009593	9.70E-24	74.5			K07216		bactNOG[38]	"08JRG@bactNOG,0F7EV@cloNOG,0P6QD@firmNOG,11KT7@NOG"	08JRG|1.52741671123e-24|89.3198318481	S	"hemerythrin-like, metal-binding protein"
fig|31899.10.peg.112|SAMN05216182_0038	483219.LILAB_04265	0	1228.2	SCLAV_5304				bactNOG[38]	"05CR9@bactNOG,0GCNC@delNOG,0HE4K@dproNOG,16SFY@proNOG,COG5184@NOG"	05CR9|3.82060793832e-82|272.253448486	"D, Z"	"regulator of chromosome condensation, RCC1"
fig|31899.10.peg.113|SAMN05216182_0039	521460.Athe_2570	0	1086					bactNOG[38]	"060DI@bactNOG,0F13D@cloNOG,0NY14@firmNOG,0XU4E@NOG"	060DI|2.08246450962e-156|523.372924805	S	NA
fig|31899.10.peg.114|SAMN05216182_0040	521460.Athe_2567	1.70E-151	496					bactNOG[38]	"05YIQ@bactNOG,0F45J@cloNOG,0P2CE@firmNOG,126JQ@NOG"	05YIQ|1.72812583128e-12|49.3762283325	S	domain protein
fig|31899.10.peg.115|SAMN05216182_0041	509191.AcelC_020100021488	0	1211.3					bactNOG[38]	"07EI8@bactNOG,COG3210@NOG"	07EI8|0.0|1180.02148438	U	Inherit from COG: filamentous hemagglutinin family outer membrane protein
fig|31899.10.peg.116|SAMN05216182_0042	351627.Csac_0278	0	3618.8					bactNOG[38]	"08WQ3@bactNOG,0ETV7@cloNOG,0NK0A@firmNOG,0ZJ52@NOG"	08WQ3|0.0|1633.79125977	S	NA
fig|31899.10.peg.117	351627.Csac_0437	6.10E-31	95.2					bactNOG[38]	"08N9I@bactNOG,112I7@NOG"	08N9I|3.81004751496e-08|35.5790977478	G	glycosyl hydrolase family 32 domain protein
fig|31899.10.peg.118	436114.SYO3AOP1_0381	5.70E-91	293.5	TRA905	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K07493		bactNOG[38]	"02GG7@aquNOG,05D5G@bactNOG,COG3328@NOG"	02GG7|2.70482827639e-88|299.371429443	L	transposase mutator type
fig|31899.10.peg.119	436114.SYO3AOP1_1122	2.80E-39	122.4	TRA905	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K07493		bactNOG[38]	"02GG7@aquNOG,05D5G@bactNOG,COG3328@NOG"	02GG7|1.92807648501e-31|112.140396118	L	transposase mutator type
fig|31899.10.peg.120	632518.Calow_2148	3.80E-21	62.3					bactNOG[38]	"08R20@bactNOG,0EZ7X@cloNOG,0NTVW@firmNOG,11F46@NOG"	08R20|3.50836465381e-06|29.3845977783	S	Uroporphyrinogen decarboxylase (URO-D)
fig|31899.10.peg.121|SAMN05216182_0050	521460.Athe_2574	1.20E-268	884.4	MALE		K15770		bactNOG[38]	"07FKK@bactNOG,0EQBM@cloNOG,0NG46@firmNOG,COG2182@NOG"	07FKK|7.32975031353e-128|429.761505127	G	extracellular solute-binding protein family 1
fig|31899.10.peg.122|SAMN05216182_0051	521460.Athe_2575	1.70E-224	738.4	MALR		"K01775,K02529"		bactNOG[38]	"05FKQ@bactNOG,0EQZ9@cloNOG,0NEN2@firmNOG,COG1609@NOG"	05FKQ|1.06277056058e-124|418.987030029	K	transcriptional regulator
fig|31899.10.peg.123|SAMN05216182_0052	521460.Athe_2576	0	1250	GLGP		K00688		bactNOG[38]	"07R76@bactNOG,0P2MH@firmNOG,COG0058@NOG"	07R76|6.51182988339e-204|680.364868164	G	"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)"
fig|31899.10.peg.124|SAMN05216182_0053	521460.Athe_2577	6.80E-189	620.8	MALD	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"K02026,K10112,K15772"	"GLYC3Pabc,MALTabc"	bactNOG[38]	"05EG2@bactNOG,0EPZI@cloNOG,0NEE3@firmNOG,COG3833@NOG"	05EG2|2.41136978026e-102|346.281677246	P	"ABC transporter, permease"
fig|31899.10.peg.125|SAMN05216182_0054	521460.Athe_2578	2.20E-202	665.6	MALF	"GO:0005575,GO:0016020"	"K02025,K05814,K15770,K15771"		bactNOG[38]	"05D56@bactNOG,0EPW4@cloNOG,0NDIX@firmNOG,COG1175@NOG"	05D56|3.84097906531e-120|405.144378662	P	permease protein
fig|31899.10.peg.126|SAMN05216182_0055	580327.Tthe_0763	2.90E-128	422.4	NPLT		"K01176,K01200,K01208,K01234"		bactNOG[38]	"07R28@bactNOG,0F4HS@cloNOG,0P2KT@firmNOG,COG0366@NOG"	07R28|4.02734396048e-163|548.085205078	G	"alpha amylase, catalytic region"
fig|31899.10.peg.127|SAMN05216182_0056	521460.Athe_2580	9.00E-145	474.6	FUCA		K01628		bactNOG[38]	"05CR5@bactNOG,0EPFM@cloNOG,0NEMJ@firmNOG,COG0235@NOG"	05CR5|3.14987005548e-72|247.174102783	G	Class II aldolase adducin family protein
fig|31899.10.peg.128|SAMN05216182_0057	521460.Athe_2581	0	2323.9					bactNOG[38]	"05DQ8@bactNOG,0EQ2T@cloNOG,0NGNF@firmNOG,0XT3T@NOG"	05DQ8|2.27347551233e-240|802.615722656	S	glycoside hydrolase family 2 sugar binding
fig|31899.10.peg.129|SAMN05216182_0058	521460.Athe_2582	6.00E-134	436.4			K00548		bactNOG[38]	"07XHN@bactNOG,0ERWR@cloNOG,0P2Y1@firmNOG,COG5012@NOG"	07XHN|5.44983661356e-90|305.497283936	S	domain protein
fig|31899.10.peg.130|SAMN05216182_0059	521460.Athe_2583	2.30E-102	334.1	SPMB	"GO:0000003,GO:0008150,GO:0019954,GO:0030436,GO:0032502,GO:0043934,GO:0044699,GO:0044767"	K06374		bactNOG[38]	"05DX7@bactNOG,0ET6E@cloNOG,0NI98@firmNOG,COG0700@NOG"	05DX7|2.33648292985e-51|177.915557861	S	nucleoside recognition domain protein
fig|31899.10.peg.131|SAMN05216182_0060	521460.Athe_2584	2.50E-118	385.4	SPMA	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K06373		bactNOG[38]	"08JIC@bactNOG,0F7BN@cloNOG,0P6KZ@firmNOG,COG2715@NOG"	08JIC|2.02976956027e-58|199.951950073	S	nucleoside recognition domain protein
fig|31899.10.peg.133|SAMN05216182_0061	521460.Athe_2585	5.20E-257	845.2					bactNOG[38]	"05DY4@bactNOG,0ER6P@cloNOG,0NERH@firmNOG,0XQKZ@NOG"	05DY4|1.67192362866e-129|435.132995605	S	oxidoreductase Domain protein
fig|31899.10.peg.134|SAMN05216182_0062	521460.Athe_2586	1.30E-243	800			K02005		bactNOG[38]	"07X8C@bactNOG,0ESWU@cloNOG,0NJKQ@firmNOG,COG0845@NOG"	07X8C|4.90208653329e-99|334.990966797	M	Efflux transporter RND family MFP subunit
fig|31899.10.peg.135|SAMN05216182_0063	860228.Ccan_09160	6.20E-94	309.5	MACB	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K02003		bactNOG[38]	"05D6C@bactNOG,09B5U@bctoNOG,0P8AN@flaNOG,COG1136@NOG"	05D6C|8.31629962145e-125|420.768341064	V	Part of the ABC transporter complex MacAB involved in macrolide export. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
fig|31899.10.peg.136|SAMN05216182_0064	41431.PCC8801_1967	9.60E-74	240.5	SALY		K02004		bactNOG[38]	"08J5B@bactNOG,0FUUI@cyaNOG,COG0577@NOG"	08J5B|8.86773363421e-120|403.516571045	V	ABC transporter
fig|31899.10.peg.137	521460.Athe_2589	9.90E-200	652.7	CSSS	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K07650		bactNOG[38]	"05F3H@bactNOG,0NDWA@firmNOG,0XRVP@NOG"	05F3H|4.15549379656e-90|305.866668701	T	Histidine kinase
fig|31899.10.peg.139	521460.Athe_2591	1.10E-65	210.4			K00797		bactNOG[38]	"05EF0@bactNOG,0F3NM@cloNOG,0NI0Q@firmNOG,0ZNQB@NOG"	05EF0|8.08555836399e-39|133.584487915	S	spermine synthase
fig|31899.10.peg.141|SAMN05216182_0068	521460.Athe_2593	7.00E-181	596.1	AMYY		"K01176,K01182,K05343"		bactNOG[38]	"05CG3@bactNOG,0EP51@cloNOG,0NE22@firmNOG,COG0366@NOG"	05CG3|1.15110903136e-105|357.814483643	G	"alpha amylase, catalytic region"
fig|31899.10.peg.142|SAMN05216182_0069	521460.Athe_2594	1.10E-185	606.4					bactNOG[38]	"08N3K@bactNOG,0ETWK@cloNOG,0NK2B@firmNOG,11J0H@NOG"	08N3K|1.06891228361e-103|349.449859619	S	Purine or other phosphorylase family 1
fig|31899.10.peg.143|SAMN05216182_0070	521460.Athe_2595	4.10E-227	745.9	SPLB		K03716		bactNOG[38]	"05F6S@bactNOG,0EPAN@cloNOG,0NEU9@firmNOG,COG1533@NOG"	05F6S|5.63040677129e-129|434.151885986	L	Spore photoproduct lyase
fig|31899.10.peg.144	565664.EFXG_02871	1.10E-22	68.3					bactNOG[38]	"050A0@bacNOG,05SG2@bactNOG,0NN2Y@firmNOG,COG0675@NOG"	05SG2|8.48929092696e-22|80.7500076294	L	Transposase
fig|31899.10.peg.145	351627.Csac_2103	5.40E-58	182.7					bactNOG[38]	"068DW@bactNOG,0EY47@cloNOG,0NSXD@firmNOG,COG1598@NOG"	068DW|2.5373514525e-37|130.777648926	S	Uncharacterised protein family (UPF0150)
fig|31899.10.peg.146|SAMN05216182_0073	351627.Csac_2746	2.10E-114	369.2					bactNOG[38]	"08TXX@bactNOG,0ES0Y@cloNOG,0NHDG@firmNOG,COG4636@NOG"	08TXX|8.29320099053e-79|266.545562744	S	Pfam:DUF820
fig|31899.10.peg.147|SAMN05216182_0079	521460.Athe_2599	2.40E-162	533.2		"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"			bactNOG[38]	"05CB3@bactNOG,0ENRD@cloNOG,0ND89@firmNOG,COG0037@NOG"	05CB3|1.56351384514e-89|303.49029541	D	"Required for the thiolation of cytidine in position 32 of tRNA, to form 2-thiocytidine (s(2)C32) (By similarity)"
fig|31899.10.peg.148|SAMN05216182_0080	521460.Athe_2600	0	1962.4					bactNOG[38]	"05TG9@bactNOG,0EQY8@cloNOG,0NEES@firmNOG,0XTIC@NOG"	05TG9|9.37302419387e-129|434.494720459	D	domain protein
fig|31899.10.peg.149|SAMN05216182_0081	521460.Athe_2601	0	1081	SPOIVA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K06398		bactNOG[38]	"05DXU@bactNOG,0ENTE@cloNOG,0NEGS@firmNOG,0XQ51@NOG"	05DXU|5.6036422914e-238|793.64630127	S	ATPase. Has a role at an early stage in the morphogenesis of the spore coat (By similarity)
fig|31899.10.peg.150|SAMN05216182_0082	521460.Athe_2602	1.90E-141	461.4	CLCAR_1980	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K07243	FE3t	bactNOG[38]	"07SJW@bactNOG,0EUWU@cloNOG,0NFUV@firmNOG,COG0672@NOG"	07SJW|5.70303680033e-54|186.47857666	P	"iron permease, FTR1"
fig|31899.10.peg.151|SAMN05216182_0083	521460.Athe_2603	2.30E-50	157.3					bactNOG[38]	"07F8A@bactNOG,0F3CA@cloNOG,0P107@firmNOG,0XWAJ@NOG"	07F8A|3.59048539811e-37|129.328613281	S	"Regulatory protein, FmdB family"
fig|31899.10.peg.152|SAMN05216182_0084	521460.Athe_2604	1.00E-110	355.1					bactNOG[38]	"06T85@bactNOG,0EZY0@cloNOG,0NVB7@firmNOG,0YKYM@NOG"	06T85|7.73815100615e-99|331.071716309	S	NA
fig|31899.10.peg.153|SAMN05216182_0085	521460.Athe_2605	1.80E-80	256.1					bactNOG[38]	"072R6@bactNOG,0F14R@cloNOG,0NX0B@firmNOG,0Z0IZ@NOG"	072R6|3.9147180129e-66|223.449081421	S	NA
fig|31899.10.peg.154|SAMN05216182_0086	521460.Athe_2606	1.50E-195	639.9	TRXB		K00384	TRDR	bactNOG[38]	"07TM8@bactNOG,0F7NQ@cloNOG,0P74U@firmNOG,COG0492@NOG"	07TM8|7.44202175506e-131|440.514007568	O	reductase
fig|31899.10.peg.155|SAMN05216182_0087	521460.Athe_2607	3.30E-67	217.2	YAAQ				bactNOG[38]	"05X0R@bactNOG,COG3870@NOG"	05X0R|7.67043483095e-32|112.715995789	S	protein from nitrogen regulatory protein P-II
fig|31899.10.peg.156|SAMN05216182_0088	521460.Athe_2608	1.10E-164	541.8	SUFC	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K09013		bactNOG[38]	"05C3K@bactNOG,0EPKR@cloNOG,0NE5J@firmNOG,COG0396@NOG"	05C3K|2.65199853196e-88|299.548278809	O	feS assembly ATPase SufC
fig|31899.10.peg.157|SAMN05216182_0089	521460.Athe_2609	2.70E-277	914.8	SUFB		"K07033,K09014"		bactNOG[38]	"05DIW@bactNOG,0EPKJ@cloNOG,0NE5T@firmNOG,COG0719@NOG"	05DIW|3.22810084597e-90|305.909606934	O	FeS assembly protein SUFB
fig|31899.10.peg.158|SAMN05216182_0090	324602.Caur_1169	1.60E-76	249.6	SALY		K02004		bactNOG[38]	"08J5B@bactNOG,COG0577@NOG"	08J5B|9.9986143303e-118|396.603607178	V	ABC transporter
fig|31899.10.peg.159|SAMN05216182_0091	521460.Athe_2611	0	1158			K02005		bactNOG[38]	"07UMK@bactNOG,0ERBG@cloNOG,0NGJW@firmNOG,COG0845@NOG"	07UMK|5.95766188974e-115|378.489746094	M	"Efflux transporter rnd family, mfp subunit"
fig|31899.10.peg.160|SAMN05216182_0092	351627.Csac_0527	2.70E-136	442.7					bactNOG[38]	"069WG@bactNOG,0EVWT@cloNOG,0NSG0@firmNOG,0XZ6B@NOG"	069WG|2.43137750015e-61|209.923049927	S	Yip1 domain
fig|31899.10.peg.163|SAMN05216182_0094	521460.Athe_2614	1.30E-140	453.6					bactNOG[38]	"066AM@bactNOG,0NPI9@firmNOG,COG1131@NOG"	066AM|2.35470966768e-120|402.87387085	V	ABC transporter
fig|31899.10.peg.164|SAMN05216182_0095	521460.Athe_2615	9.50E-116	371.9					bactNOG[38]	"07A57@bactNOG,0NZZX@firmNOG,0ZBI6@NOG"	07A57|2.29941971398e-101|340.300964355	S	Integral membrane protein DUF95
fig|31899.10.peg.166|SAMN05216182_0097	521460.Athe_2617	1.80E-43	133					bactNOG[38]	"07A1S@bactNOG,0P02E@firmNOG,0Z870@NOG"	07A1S|1.37080323709e-40|140.096893311	S	Bacteriocin class IId cyclical uberolysin-like
fig|31899.10.peg.168|SAMN05216182_0098	309803.CTN_0396	1.10E-231	759.8		"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0031224,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	K06147		bactNOG[38]	"05BZ1@bactNOG,1CG3R@therNOG,COG1132@NOG"	1CG3R|4.71155577226e-256|853.708190918	V	ABC transporter
fig|31899.10.peg.169|SAMN05216182_0099	521460.Athe_2619	0	1261.1			K06147		bactNOG[38]	"05BZ1@bactNOG,0ENNU@cloNOG,0NDFU@firmNOG,COG1132@NOG"	0ENNU|1.74686629408e-241|806.973999023	V	Abc transporter
fig|31899.10.peg.170|SAMN05216182_0100	521460.Athe_2620	1.70E-109	353.2					bactNOG[38]	"067TZ@bactNOG,0NPQ7@firmNOG,0XUB6@NOG"	0NPQ7|3.93697232383e-63|214.591766357	K	"Transcriptional regulator, MarR family"
fig|31899.10.peg.172|SAMN05216182_0101	521460.Athe_2621	5.20E-146	478.9			K07150		bactNOG[38]	"08UQV@bactNOG,0ESHU@cloNOG,0NI6G@firmNOG,COG1811@NOG"	08UQV|8.72436472376e-83|280.073486328	S	Membrane
fig|31899.10.peg.173|SAMN05216182_0102	521460.Athe_2622	2.70E-109	352					bactNOG[38]	"05M7C@bactNOG,0EUMG@cloNOG,0NKVC@firmNOG,11UYY@NOG"	05M7C|3.60404447526e-60|205.161178589	S	NA
fig|31899.10.peg.174|SAMN05216182_0103	226900.BC1734	6.60E-88	286.6	SAGG		K01990		bactNOG[38]	"04SA1@bacNOG,05CJ1@bactNOG,0ND6K@firmNOG,COG1131@NOG"	04SA1|8.54053830851e-112|376.329772949	V	"ABC transporter, ATP-binding protein"
