id	genes	genes_peg	genes_wp	subsystem
malateT	Athe_2212	peg.2774	WP_015908547.1	-
inosABC	Athe_2331 and Athe_2332	peg.2906 and peg.2907	WP_015908656.1 and WP_013429291.1	-
Lac-symp	Athe_2355	peg.2931	WP_015908679.1	-
R01433	Athe_0184 or Athe_0187 or Athe_2354	peg.581 or peg.584 or peg.2930	WP_015906808.1 or - or WP_015908678.1	-
QueA	Athe_0245	peg.644	WP_015906863.1	-
R11719	Athe_0440	peg.860	WP_015907035.1	-
R02421	Athe_0555	peg.987	WP_015907136.1	-
R09394	Athe_0829	peg.1289	WP_041727351.1	-
R01801	Athe_0984	peg.1463	WP_013403620.1	-
R01762	Athe_0182	peg.579	WP_015906806.1	-
Xylase	Athe_0182 or Athe_0618 or (Athe_0088 and Athe_0089)	peg.579 or peg.1057 or (peg.472 and peg.473)	WP_015906806.1 or WP_015907195.1 or ( WP_015906727.1 and WP_015906728.1)	Sugar metabolism
AbfA	Athe_1103	peg.1584	WP_015907609.1	-
R02030	Athe_1459	peg.1951	WP_049760253.1	-
R05030	Athe_1784 and Athe_1785	peg.2295 and peg.2296	WP_015908179.1 and WP_015908180.1	Peptidoglycan biosynthesis
R02689	Athe_1794	peg.2306	WP_015908186.1	-
R04377	Athe_1794	peg.2306	WP_015908186.1	-
R10807	Athe_1794	peg.2306	WP_015908186.1	-
R01799	Athe_1811	peg.2323	WP_015908202.1	-
R01625	Athe_1906	peg.2422	WP_015908288.1	-
R04519	Athe_2648	peg.204	WP_015908958.1	-
R06178	Athe_2648	peg.204	WP_015908958.1	-
AXE	Athe_0152	peg.547	WP_015906781.1	-
R09592	Athe_0527	peg.958	WP_015907111.1	-
R09593	Athe_0527	peg.958	WP_015907111.1	-
R07161	(Athe_1506 and Athe_1505) or (Athe_1009 and Athe_1008)	(peg.1999 and peg.1998) or (peg.1489 and peg.1488)	(WP_015907959.1 and WP_015907958.1) or (WP_015907524.1 and WP_015907523.1)	-
R04109	Athe_1195	peg.1680	WP_015907689.1	Porphyrin and chlorophyll metabolism
R05743	Athe_1492	peg.1985	WP_013430190.1	-
R10859	Athe_1808	peg.2320	WP_015908199.1	Terpenoid backbone biosynthesis
