Rep_gene	Gene_list_chromosome	most_common_function	function_proportion	count_result	Gene_cnt_chromosome	Genome_cnt
fig|31899.10.peg.445|SAMN05216182_0318	fig|1121259.3.peg.2222,fig|1214564.3.peg.2058,fig|1387555.3.peg.68,fig|1387555.3.peg.683,fig|1387557.3.peg.1834,fig|31899.10.peg.2088|SAMN05216182_1874,fig|31899.10.peg.445|SAMN05216182_0318,fig|351627.8.peg.739|Csac_0641,fig|608506.3.peg.65|COB47_0062,fig|632292.3.peg.1239|Calhy_1157,fig|632292.3.peg.46|Calhy_0043,fig|632335.8.peg.2680|Calkr_2464,fig|632348.3.peg.1205|Calkro_1136,fig|632348.3.peg.57|Calkro_0053,fig|632516.3.peg.1991|CallaDRAFT_1921,fig|632518.3.peg.33|Calow_0032	hypothetical protein	1.0	Counter({'hypothetical protein': 16})	16	12.0
fig|632516.3.peg.2367|CallaDRAFT_2277	fig|1121259.3.peg.1671,fig|1214564.3.peg.1567,fig|1387555.3.peg.2382,fig|1387557.3.peg.803,fig|31899.10.peg.987|SAMN05216182_0819,fig|351627.8.peg.889|Csac_0781,fig|608506.3.peg.560|COB47_0501,fig|632292.3.peg.2197|Calhy_2097,fig|632335.8.peg.2208|Calkr_2041,fig|632348.3.peg.2194|Calkro_2079,fig|632516.3.peg.2367|CallaDRAFT_2277,fig|632518.3.peg.457|Calow_0410	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	1.0	Counter({'Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)': 12})	12	12.0
fig|31899.10.peg.34	fig|31899.10.peg.34	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.37	fig|31899.10.peg.37	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1965	fig|1387555.3.peg.1965,fig|1387557.3.peg.1171,fig|31899.10.peg.1370|SAMN05216182_1180,fig|632516.3.peg.2492|CallaDRAFT_2398	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|1387555.3.peg.1964	fig|1387555.3.peg.1964,fig|1387557.3.peg.1172,fig|31899.10.peg.1371|SAMN05216182_1181,fig|632516.3.peg.2493|CallaDRAFT_2399	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|1387555.3.peg.1961	fig|1387555.3.peg.1961	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1387555.3.peg.1960	fig|1387555.3.peg.1960	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1963	fig|1387555.3.peg.1963,fig|632516.3.peg.2494|CallaDRAFT_2400	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|1387555.3.peg.1962	fig|1387555.3.peg.1962,fig|1387557.3.peg.1175	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632335.8.peg.1270|Calkr_1150	fig|1214564.3.peg.54,fig|1387557.3.peg.1400,fig|351627.8.peg.1782|Csac_1617,fig|632292.3.peg.1658|Calhy_1566,fig|632335.8.peg.1270|Calkr_1150	Methionine ABC transporter permease protein	1.0	Counter({'Methionine ABC transporter permease protein': 5})	5	5.0
fig|1387555.3.peg.1969	fig|1387555.3.peg.1969	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1968	fig|1387555.3.peg.1968	Transmembrane transport protein MmpL family	1.0	Counter({'Transmembrane transport protein MmpL family': 1})	1	1.0
fig|632516.3.peg.527|CallaDRAFT_0506	fig|632516.3.peg.527|CallaDRAFT_0506	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.214|COB47_0194	fig|608506.3.peg.214|COB47_0194	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)': 1})	1	1.0
fig|632292.3.peg.425|Calhy_0387	fig|632292.3.peg.425|Calhy_0387	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2002|CallaDRAFT_1933	fig|632516.3.peg.2002|CallaDRAFT_1933	Transcriptional regulator in cluster with Zn-dependent hydrolase	1.0	Counter({'Transcriptional regulator in cluster with Zn-dependent hydrolase': 1})	1	1.0
fig|31899.10.peg.3101|SAMN05216182_2829	fig|1387557.3.peg.765,fig|31899.10.peg.3101|SAMN05216182_2829,fig|351627.8.peg.2647|Csac_2455	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|31899.10.peg.2456|SAMN05216182_2239	fig|1387557.3.peg.1984,fig|31899.10.peg.2456|SAMN05216182_2239,fig|608506.3.peg.1869|COB47_1747,fig|632348.3.peg.800|Calkro_0755	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|31899.10.peg.792|SAMN05216182_0632	fig|31899.10.peg.792|SAMN05216182_0632	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2733|CallaDRAFT_2646	fig|632516.3.peg.2733|CallaDRAFT_2646	S-layer domain protein	1.0	Counter({'S-layer domain protein': 1})	1	1.0
fig|31899.10.peg.2836|SAMN05216182_2589	fig|1121259.3.peg.1213,fig|1214564.3.peg.2168,fig|1387557.3.peg.2676,fig|31899.10.peg.2836|SAMN05216182_2589,fig|351627.8.peg.278|Csac_0238,fig|632292.3.peg.530|Calhy_0484,fig|632348.3.peg.407|Calkro_0382,fig|632518.3.peg.2080|Calow_1952	ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	1.0	Counter({'ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)': 8})	8	8.0
fig|632516.3.peg.499|CallaDRAFT_0478	fig|632516.3.peg.499|CallaDRAFT_0478	Efflux ABC transporter, permease/ATP-binding protein YfiB	1.0	Counter({'Efflux ABC transporter, permease/ATP-binding protein YfiB': 1})	1	1.0
fig|31899.10.peg.3123|SAMN05216182_2849	fig|1387557.3.peg.2367,fig|31899.10.peg.3123|SAMN05216182_2849,fig|632292.3.peg.349|Calhy_0316,fig|632335.8.peg.2345|Calkr_2167	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|632335.8.peg.2478|Calkr_2289	fig|632335.8.peg.2478|Calkr_2289	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.2805|Csac_2595	fig|351627.8.peg.2805|Csac_2595	DNA-methyltransferase	1.0	Counter({'DNA-methyltransferase': 1})	1	1.0
fig|632516.3.peg.322	fig|1121259.3.peg.876,fig|608506.3.peg.675,fig|632292.3.peg.2094|Calhy_2000,fig|632335.8.peg.686,fig|632516.3.peg.322,fig|632518.3.peg.585|Calow_0532	hypothetical protein	1.0	Counter({'hypothetical protein': 6})	6	6.0
fig|351627.8.peg.1300|Csac_1157	fig|351627.8.peg.1300|Csac_1157	Transposase	1.0	Counter({'Transposase': 1})	1	1.0
fig|632518.3.peg.2305|Calow_2148	fig|1387557.3.peg.12,fig|632292.3.peg.300|Calhy_0272,fig|632518.3.peg.2305|Calow_2148	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|31899.10.peg.765	fig|31899.10.peg.765	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.1535	fig|1121259.3.peg.1535	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|1121259.3.peg.1534	fig|1121259.3.peg.1534	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|351627.8.peg.2072	fig|1214564.3.peg.2384,fig|351627.8.peg.2072	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|351627.8.peg.2071	fig|351627.8.peg.2071	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.811|Csac_0706	fig|1121259.3.peg.1227,fig|1214564.3.peg.97,fig|1387555.3.peg.745,fig|1387557.3.peg.2663,fig|31899.10.peg.2820|SAMN05216182_2575,fig|351627.8.peg.811|Csac_0706,fig|608506.3.peg.2168|COB47_2028,fig|632292.3.peg.568|Calhy_0521,fig|632335.8.peg.2443|Calkr_2256,fig|632348.3.peg.420|Calkro_0391,fig|632516.3.peg.856|CallaDRAFT_0818,fig|632518.3.peg.2056|Calow_1933	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	1.0	Counter({'Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)': 12})	12	12.0
fig|31899.10.peg.533|SAMN05216182_0392	fig|1387557.3.peg.396,fig|31899.10.peg.533|SAMN05216182_0392,fig|351627.8.peg.559|Csac_0486	CRISPR-associated RAMP FIG00530360 A / CRISPR-associated RAMP, Csx10 family	1.0	Counter({'CRISPR-associated RAMP FIG00530360 A / CRISPR-associated RAMP, Csx10 family': 3})	3	3.0
fig|632516.3.peg.2145|CallaDRAFT_2068	fig|1121259.3.peg.1575,fig|1214564.3.peg.1320,fig|1387555.3.peg.370,fig|1387557.3.peg.261,fig|31899.10.peg.376|SAMN05216182_0250,fig|351627.8.peg.2|Csac_0002,fig|608506.3.peg.5|COB47_0004,fig|632292.3.peg.3|Calhy_0002,fig|632335.8.peg.19|Calkr_0002,fig|632348.3.peg.3|Calkro_0003,fig|632516.3.peg.2145|CallaDRAFT_2068,fig|632518.3.peg.2|Calow_0002	DNA polymerase III beta subunit (EC 2.7.7.7)	1.0	Counter({'DNA polymerase III beta subunit (EC 2.7.7.7)': 12})	12	12.0
fig|608506.3.peg.15|COB47_0015	fig|608506.3.peg.15|COB47_0015	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.479|CallaDRAFT_0460	fig|632335.8.peg.70,fig|632516.3.peg.479|CallaDRAFT_0460	Tryptophan synthase (indole-salvaging) (EC 4.2.1.122)	1.0	Counter({'Tryptophan synthase (indole-salvaging) (EC 4.2.1.122)': 2})	2	2.0
fig|31899.10.peg.217|SAMN05216182_0137	fig|1214564.3.peg.2432,fig|31899.10.peg.217|SAMN05216182_0137,fig|351627.8.peg.78|Csac_0064,fig|632292.3.peg.2675|Calhy_2543,fig|632335.8.peg.2757|Calkr_2532,fig|632348.3.peg.2626|Calkro_2487,fig|632516.3.peg.805|CallaDRAFT_0773	CRISPR-associated RecB family exonuclease Cas4	1.0	Counter({'CRISPR-associated RecB family exonuclease Cas4': 7})	7	7.0
fig|632292.3.peg.550|Calhy_0504	fig|632292.3.peg.550|Calhy_0504	D-mannonate oxidoreductase (EC 1.1.1.57)	1.0	Counter({'D-mannonate oxidoreductase (EC 1.1.1.57)': 1})	1	1.0
fig|632348.3.peg.282	fig|632348.3.peg.282	Mll2627 protein	1.0	Counter({'Mll2627 protein': 1})	1	1.0
fig|632348.3.peg.551	fig|632348.3.peg.551	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
