#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_012034.1	82738	83118	-	31771439	-	ATHE_RS00315	WP_041726932.1	126	hypothetical protein
chr	NC_012034.1	83241	83534	-	31771440	-	ATHE_RS00320	WP_041726934.1	97	hypothetical protein
chr	NC_012034.1	84053	84691	+	31771441	-	ATHE_RS00325	WP_015906709.1	212	hypothetical protein
chr	NC_012034.1	84805	85776	+	31771442	-	ATHE_RS00330	WP_015906710.1	323	hypothetical protein
chr	NC_012034.1	85816	86733	+	31771443	-	ATHE_RS00335	WP_015906711.1	305	CPBP family intramembrane metalloprotease
chr	NC_012034.1	86795	87088	+	31771444	-	ATHE_RS00340	WP_015906712.1	97	hypothetical protein
chr	NC_012034.1	88319	88594	+	31771446	-	ATHE_RS00350	WP_088217564.1	91	hypothetical protein
chr	NC_012034.1	89034	89615	+	31771447	-	ATHE_RS00355	WP_015906714.1	193	hypothetical protein
chr	NC_012034.1	89733	90716	+	31771448	-	ATHE_RS00360	WP_015906715.1	327	hypothetical protein
chr	NC_012034.1	90788	91738	+	31771449	-	ATHE_RS00365	WP_015906716.1	316	CPBP family intramembrane metalloprotease
chr	NC_012034.1	92363	93901	+	31771451	-	ATHE_RS00375	WP_015906717.1	512	transposase
chr	NC_012034.1	93973	99105	+	31771452	-	ATHE_RS00380	WP_015906718.1	1710	S-layer protein
chr	NC_012034.1	99273	100898	+	31771453	-	ATHE_RS00385	WP_015906719.1	541	CTP synthase
chr	NC_012034.1	100947	101435	-	31771454	-	ATHE_RS00390	WP_015906720.1	162	hypothetical protein
chr	NC_012034.1	101620	102312	+	31771455	-	ATHE_RS00395	WP_013429135.1	230	MULTISPECIES: DNA-binding response regulator
chr	NC_012034.1	102336	104051	+	31771456	-	ATHE_RS00400	WP_013429136.1	571	MULTISPECIES: HAMP domain-containing protein
chr	NC_012034.1	104125	104628	+	31771457	-	ATHE_RS00405	WP_015906721.1	167	hypothetical protein
chr	NC_012034.1	104646	105944	+	31771458	-	ATHE_RS00410	WP_015906722.1	432	hypothetical protein
chr	NC_012034.1	105969	106697	+	31771459	-	ATHE_RS00415	WP_015906723.1	242	hypothetical protein
chr	NC_012034.1	106920	107876	+	31771460	-	ATHE_RS00420	WP_015906724.1	318	sugar ABC transporter permease
chr	NC_012034.1	107924	108808	+	31771461	-	ATHE_RS00425	WP_015906725.1	294	carbohydrate ABC transporter permease
chr	NC_012034.1	109990	110649	+	31771463	-	ATHE_RS00435	WP_015906727.1	219	hypothetical protein
chr	NC_012034.1	110935	112008	+	31771464	-	ATHE_RS00440	WP_015906728.1	357	endo-1,4-beta-xylanase
chr	NC_012034.1	112399	112761	+	31771465	-	ATHE_RS00445	WP_015906729.1	120	hypothetical protein
chr	NC_012034.1	112807	113364	+	31771466	-	ATHE_RS00450	WP_015906730.1	185	hypothetical protein
chr	NC_012034.1	113378	114817	-	31771467	-	ATHE_RS00455	WP_015906731.1	479	ISLre2-like element ISCbe4 family transposase
chr	NC_012034.1	115307	116074	-	31771468	-	ATHE_RS00460	WP_079503991.1	255	hypothetical protein
chr	NC_012034.1	117472	117795	+	31774150	-	ATHE_RS14165	WP_079503992.1	107	DUF3368 domain-containing protein
chr	NC_012034.1	117903	119048	+	31771470	nagA	ATHE_RS00470	WP_015906735.1	381	N-acetylglucosamine-6-phosphate deacetylase
chr	NC_012034.1	119197	120537	+	31771471	-	ATHE_RS00475	WP_015906736.1	446	glucosylceramidase
chr	NC_012034.1	120924	121853	+	31771473	-	ATHE_RS00485	WP_079503994.1	309	glucuronyl hydrolase
chr	NC_012034.1	121884	122627	-	31771474	-	ATHE_RS00490	WP_015906737.1	247	DUF72 domain-containing protein
chr	NC_012034.1	122659	123747	-	31771475	xylF	ATHE_RS00495	WP_015906738.1	362	sugar ABC transporter substrate-binding protein
chr	NC_012034.1	123769	125328	-	31771476	-	ATHE_RS00500	WP_015906739.1	519	DNA-binding response regulator
chr	NC_012034.1	125325	126812	-	31771477	-	ATHE_RS00505	WP_015906740.1	495	HAMP domain-containing protein
chr	NC_012034.1	126825	127799	-	31771478	-	ATHE_RS00510	WP_015906741.1	324	sugar ABC transporter substrate-binding protein
chr	NC_012034.1	128013	129068	+	31771479	xylF	ATHE_RS00515	WP_015906742.1	351	D-xylose ABC transporter substrate-binding protein
chr	NC_012034.1	129172	130689	+	31771480	-	ATHE_RS00520	WP_015906743.1	505	xylose ABC transporter ATP-binding protein
chr	NC_012034.1	130693	131814	+	31771481	-	ATHE_RS00525	WP_015906744.1	373	sugar ABC transporter permease
chr	NC_012034.1	131938	132600	-	31771482	-	ATHE_RS00530	WP_015906745.1	220	YIP1 family protein
chr	NC_012034.1	132624	133883	-	31771483	-	ATHE_RS00535	WP_015906746.1	419	ABC transporter permease
chr	NC_012034.1	133889	134689	-	31771484	-	ATHE_RS00540	WP_015906747.1	266	hypothetical protein
chr	NC_012034.1	134738	135451	-	31771485	-	ATHE_RS00545	WP_015906748.1	237	ABC transporter ATP-binding protein
chr	NC_012034.1	135543	136754	-	31771486	-	ATHE_RS00550	WP_015906749.1	403	ABC transporter permease
chr	NC_012034.1	136751	137476	-	31771487	-	ATHE_RS00555	WP_015906750.1	241	ATP-binding cassette domain-containing protein
chr	NC_012034.1	137550	138287	-	31771488	-	ATHE_RS00560	WP_015906751.1	245	hypothetical protein
chr	NC_012034.1	138343	139056	-	31771489	-	ATHE_RS00565	WP_015906752.1	237	hypothetical protein
chr	NC_012034.1	139085	139753	-	31771490	-	ATHE_RS00570	WP_015906753.1	222	hypothetical protein
chr	NC_012034.1	139731	140609	-	31771491	-	ATHE_RS00575	WP_015906754.1	292	ABC transporter ATP-binding protein
chr	NC_012034.1	140606	140995	-	31771492	-	ATHE_RS00580	WP_015906755.1	129	GntR family transcriptional regulator
chr	NC_012034.1	141262	141849	+	31771493	-	ATHE_RS00585	WP_015906756.1	195	hypothetical protein
chr	NC_012034.1	142061	142768	+	31771494	-	ATHE_RS00590	WP_015906757.1	235	CRISPR-associated protein Cas6
chr	NC_012034.1	142983	143768	+	31771495	cas6	ATHE_RS00595	WP_015906758.1	261	CRISPR-associated endoribonuclease Cas6
chr	NC_012034.1	143801	145441	+	31771496	cas8a1	ATHE_RS00600	WP_015906759.1	546	type I-B CRISPR-associated protein Cas8b1/Cst1
chr	NC_012034.1	145438	146367	+	31771497	cas7i	ATHE_RS00605	WP_015906760.1	309	type I-B CRISPR-associated protein Cas7/Cst2/DevR
chr	NC_012034.1	146370	147119	+	31771498	cas5b	ATHE_RS00610	WP_015906761.1	249	type I-B CRISPR-associated protein Cas5
chr	NC_012034.1	147100	149433	+	31771499	-	ATHE_RS00615	WP_041726941.1	777	CRISPR-associated helicase/endonuclease Cas3
chr	NC_012034.1	149463	149978	+	31771500	cas4	ATHE_RS00620	WP_015906763.1	171	CRISPR-associated protein Cas4
chr	NC_012034.1	149984	150964	+	31771501	-	ATHE_RS00625	WP_015906764.1	326	type I-B CRISPR-associated endonuclease Cas1
chr	NC_012034.1	151153	151416	+	31771502	cas2	ATHE_RS00630	WP_015906765.1	87	CRISPR-associated endonuclease Cas2
chr	NC_012034.1	162208	163410	+	31771504	-	ATHE_RS00640	WP_013429593.1	400	MULTISPECIES: IS21-like element ISCbe3 family transposase
chr	NC_012034.1	163431	164195	+	31771505	-	ATHE_RS00645	WP_015906766.1	254	AAA family ATPase
chr	NC_012034.1	167188	167967	+	31771508	-	ATHE_RS00660	WP_041726944.1	259	AAA family ATPase
chr	NC_012034.1	168761	170152	+	31771509	-	ATHE_RS00665	WP_015906768.1	463	hypothetical protein
chr	NC_012034.1	170149	171723	+	31771510	-	ATHE_RS00670	WP_015906769.1	524	hypothetical protein
chr	NC_012034.1	171725	173989	+	31771511	-	ATHE_RS00675	WP_041727292.1	754	hypothetical protein
chr	NC_012034.1	173976	175400	+	31771512	-	ATHE_RS00680	WP_015906771.1	474	hypothetical protein
chr	NC_012034.1	175408	176019	+	31771513	-	ATHE_RS00685	WP_015906772.1	203	TIGR03984 family CRISPR-associated protein
chr	NC_012034.1	176051	177859	+	31771514	-	ATHE_RS00690	WP_079504048.1	602	TIGR03986 family CRISPR-associated RAMP protein
chr	NC_012034.1	178388	180409	+	31771515	-	ATHE_RS00695	WP_015906774.1	673	hypothetical protein
chr	NC_012034.1	180621	182699	+	31771516	-	ATHE_RS00700	WP_015906775.1	692	alpha-amylase
chr	NC_012034.1	183496	184248	+	31771518	-	ATHE_RS00710	WP_015906776.1	250	DeoR/GlpR transcriptional regulator
chr	NC_012034.1	184276	185223	+	31771519	pfkB	ATHE_RS00715	WP_015906777.1	315	1-phosphofructokinase
chr	NC_012034.1	185214	185663	+	31771520	-	ATHE_RS00720	WP_015906778.1	149	PTS sugar transporter subunit IIA
chr	NC_012034.1	185685	187049	+	31771521	-	ATHE_RS00725	WP_015906779.1	454	PTS fructose transporter subunit IIBC
chr	NC_012034.1	187129	187389	+	31771522	-	ATHE_RS00730	WP_013431304.1	86	MULTISPECIES: HPr family phosphocarrier protein
chr	NC_012034.1	187382	189061	+	31771523	ptsP	ATHE_RS00735	WP_041726948.1	559	phosphoenolpyruvate--protein phosphotransferase
chr	NC_012034.1	189283	190248	+	31771524	-	ATHE_RS00740	WP_015906781.1	321	acetylesterase
chr	NC_012034.1	190391	191320	+	31771525	-	ATHE_RS00745	WP_015906782.1	309	hypothetical protein
chr	NC_012034.1	191487	192293	+	31771526	-	ATHE_RS00750	WP_015906783.1	268	glycosyltransferase
chr	NC_012034.1	192314	193429	+	31771527	-	ATHE_RS00755	WP_015906784.1	371	hypothetical protein
chr	NC_012034.1	193473	194552	+	31771528	-	ATHE_RS00760	WP_015906785.1	359	glycosyltransferase
chr	NC_012034.1	194568	195419	+	31771529	-	ATHE_RS00765	WP_015906786.1	283	glycosyltransferase family 2 protein
chr	NC_012034.1	195416	195652	+	31771530	-	ATHE_RS00770	WP_015906787.1	78	hypothetical protein
chr	NC_012034.1	195697	199920	+	31771531	-	ATHE_RS00775	WP_015906788.1	1407	hypothetical protein
chr	NC_012034.1	199933	200265	-	31771532	-	ATHE_RS00780	WP_041726951.1	110	DUF2752 domain-containing protein
chr	NC_012034.1	200268	200672	-	31771533	-	ATHE_RS00785	WP_015906789.1	134	DUF4234 domain-containing protein
chr	NC_012034.1	200857	202029	-	31771534	-	ATHE_RS00790	WP_015906790.1	390	hypothetical protein
chr	NC_012034.1	202255	202536	+	31771535	-	ATHE_RS00795	WP_015906791.1	93	membrane protein
chr	NC_012034.1	202605	203141	-	31771536	-	ATHE_RS00800	WP_013404300.1	178	MULTISPECIES: rubrerythrin family protein
chr	NC_012034.1	203166	203579	-	31771537	-	ATHE_RS00805	WP_041726953.1	137	transcriptional repressor
chr	NC_012034.1	203747	205420	-	31771538	-	ATHE_RS00810	WP_015906793.1	557	alpha-glucosidase
chr	NC_012034.1	205556	206182	-	31771539	-	ATHE_RS00815	WP_015906794.1	208	glycerol-3-phosphate acyltransferase
chr	NC_012034.1	206185	207282	-	31771540	-	ATHE_RS00820	WP_015906795.1	365	glycosyltransferase
chr	NC_012034.1	207653	207898	+	31771541	-	ATHE_RS00825	WP_015906796.1	81	CopG family transcriptional regulator
chr	NC_012034.1	207920	209353	+	31771542	-	ATHE_RS00830	WP_015906797.1	477	[FeFe] hydrogenase H-cluster radical SAM maturase HydG [Caldicellulosiruptor bescii]
chr	NC_012034.1	209376	209762	-	31771543	-	ATHE_RS00835	WP_015906798.1	128	response regulator
chr	NC_012034.1	209921	210643	+	31771544	-	ATHE_RS00840	WP_015906799.1	240	O-methyltransferase
chr	NC_012034.1	210640	211497	+	31771545	rsmI	ATHE_RS00845	WP_015906800.1	285	16S rRNA (cytidine(1402)-2\'-O)-methyltransferase
chr	NC_012034.1	211556	211798	-	31771546	-	ATHE_RS00850	WP_011917919.1	80	MULTISPECIES: AbrB/MazE/SpoVT family DNA-binding domain-containing protein
chr	NC_012034.1	212384	215239	+	31771547	-	ATHE_RS00855	WP_015906801.1	951	extracellular solute-binding protein
chr	NC_012034.1	215292	216185	+	31771548	-	ATHE_RS00860	WP_013431286.1	297	MULTISPECIES: sugar ABC transporter permease
chr	NC_012034.1	216225	217088	+	31771549	-	ATHE_RS00865	WP_013431285.1	287	MULTISPECIES: carbohydrate ABC transporter permease
chr	NC_012034.1	217118	219268	+	31771550	-	ATHE_RS00870	WP_015906802.1	716	DUF1282 domain-containing protein
chr	NC_012034.1	219296	221497	+	31771551	-	ATHE_RS00875	WP_015906803.1	733	hypothetical protein
chr	NC_012034.1	221505	222425	+	31771552	-	ATHE_RS00880	WP_015906804.1	306	sugar ABC transporter permease
chr	NC_012034.1	222455	223474	+	31771553	-	ATHE_RS00885	WP_015906805.1	339	carbohydrate ABC transporter permease
chr	NC_012034.1	223549	225336	+	31771554	-	ATHE_RS00890	WP_013431280.1	595	MULTISPECIES: extracellular solute-binding protein
chr	NC_012034.1	225442	229458	+	31771555	-	ATHE_RS00895	WP_015906806.1	1338	carbohydrate-binding protein
chr	NC_012034.1	229475	231568	+	31771556	-	ATHE_RS00900	WP_015906807.1	697	cellulose 1,4-beta-cellobiosidase
chr	NC_012034.1	231611	233116	+	31771557	-	ATHE_RS00905	WP_015906808.1	501	xylan 1,4-beta-xylosidase
chr	NC_012034.1	233136	234149	+	31771558	-	ATHE_RS00910	WP_015906809.1	337	endo-1,4-beta-xylanase
chr	NC_012034.1	234197	234994	+	31771559	-	ATHE_RS00915	WP_015906810.1	265	acetylesterase
chr	NC_012034.1	236382	237821	+	31771561	-	ATHE_RS00925	WP_015906731.1	479	ISLre2-like element ISCbe4 family transposase
chr	NC_012034.1	238338	240086	+	31771562	-	ATHE_RS00930	WP_015906812.1	582	LysM peptidoglycan-binding domain-containing protein
chr	NC_012034.1	240160	240825	-	31771563	queC	ATHE_RS00935	WP_015906813.1	221	7-cyano-7-deazaguanine synthase QueC
chr	NC_012034.1	240838	241215	-	31771564	-	ATHE_RS00940	WP_015906814.1	125	reactive intermediate/imine deaminase
chr	NC_012034.1	241240	241641	-	31771565	-	ATHE_RS00945	WP_015906815.1	133	zinc ribbon domain-containing protein, partial
chr	NC_012034.1	241783	241977	+	31771566	-	ATHE_RS00950	WP_015906816.1	64	thiamine biosynthesis protein ThiS
chr	NC_012034.1	242005	242910	+	31771567	-	ATHE_RS00955	WP_015906817.1	301	TIGR00269 family protein
chr	NC_012034.1	242980	243657	-	31771568	-	ATHE_RS00960	WP_015906818.1	225	putative 7-carboxy-7-deazaguanine synthase QueE
chr	NC_012034.1	243713	244123	-	31771569	-	ATHE_RS00965	WP_015906819.1	136	PIN domain-containing protein
chr	NC_012034.1	244120	244389	-	31771570	-	ATHE_RS00970	WP_015906820.1	89	AbrB family transcriptional regulator
chr	NC_012034.1	244822	246072	+	31771571	-	ATHE_RS00975	WP_015906821.1	416	2-hydroxyacyl-CoA dehydratase
chr	NC_012034.1	246088	247707	+	31771572	-	ATHE_RS00980	WP_015906822.1	539	3-hydroxyacyl-ACP dehydratase
chr	NC_012034.1	247818	248267	+	31771573	-	ATHE_RS00985	WP_013431266.1	149	MULTISPECIES: MarR family transcriptional regulator
chr	NC_012034.1	248287	250515	+	31771574	-	ATHE_RS00990	WP_015906823.1	742	ABC transporter ATP-binding protein
chr	NC_012034.1	250512	252398	+	31771575	-	ATHE_RS00995	WP_015906824.1	628	ABC transporter ATP-binding protein
chr	NC_012034.1	252597	253037	+	31771576	-	ATHE_RS01000	WP_015906825.1	146	DNA-binding protein
chr	NC_012034.1	253067	253762	+	31771577	-	ATHE_RS01005	WP_015906826.1	231	FldZ protein
chr	NC_012034.1	253804	255081	-	31771578	-	ATHE_RS01010	WP_015906827.1	425	methyl-accepting chemotaxis protein
chr	NC_012034.1	255267	256511	+	31771579	murA	ATHE_RS01015	WP_015906828.1	414	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
chr	NC_012034.1	256581	257009	+	31771580	-	ATHE_RS01020	WP_079503997.1	142	DUF1284 domain-containing protein
chr	NC_012034.1	257002	257946	+	31771581	-	ATHE_RS01025	WP_015906830.1	314	biotin-
chr	NC_012034.1	257964	259094	+	31771582	folP	ATHE_RS01030	WP_015906831.1	376	dihydropteroate synthase
chr	NC_012034.1	259121	259336	+	31771583	-	ATHE_RS01035	WP_015906832.1	71	DUF3006 domain-containing protein
chr	NC_012034.1	259341	259814	+	31771584	folK	ATHE_RS01040	WP_015906833.1	157	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
chr	NC_012034.1	259821	260615	+	31771585	-	ATHE_RS01045	WP_015906834.1	264	SDR family oxidoreductase
chr	NC_012034.1	260644	261198	+	31771586	-	ATHE_RS01050	WP_015906835.1	184	Uma2 family endonuclease
chr	NC_012034.1	261226	262560	+	31771587	-	ATHE_RS01055	WP_015906836.1	444	hypothetical protein
chr	NC_012034.1	262597	263265	+	31771588	-	ATHE_RS01060	WP_015906837.1	222	phage shock protein A
chr	NC_012034.1	263481	265775	+	31771589	-	ATHE_RS01065	WP_015906838.1	764	phosphoprotein phosphatase
chr	NC_012034.1	265756	266832	+	31771590	spoIID	ATHE_RS01070	WP_015906839.1	358	stage II sporulation protein D
chr	NC_012034.1	266873	267274	+	31771591	-	ATHE_RS01075	WP_015906840.1	133	hypothetical protein
chr	NC_012034.1	267225	267824	+	31771592	-	ATHE_RS01080	WP_041726965.1	199	hypothetical protein
chr	NC_012034.1	267966	268904	+	31771593	-	ATHE_RS01085	WP_015906842.1	312	hypothetical protein
chr	NC_012034.1	269094	269807	-	31771594	-	ATHE_RS01090	WP_015906843.1	237	hypothetical protein
chr	NC_012034.1	269934	271556	-	31771595	-	ATHE_RS01095	WP_015906844.1	540	NAD+ synthase
chr	NC_012034.1	271576	271989	-	31771596	-	ATHE_RS01100	WP_041726967.1	137	DUF86 domain-containing protein
chr	NC_012034.1	272004	272432	-	31771597	-	ATHE_RS01105	WP_015906846.1	142	nucleotidyltransferase domain-containing protein
chr	NC_012034.1	272944	275385	+	31771599	-	ATHE_RS01115	WP_015906847.1	813	glycoside hydrolase family 2
chr	NC_012034.1	276624	278459	+	31771600	-	ATHE_RS01120	WP_015906848.1	611	glycoside hydrolase family 15
chr	NC_012034.1	278524	279123	-	31771601	-	ATHE_RS01125	WP_015906849.1	199	hypothetical protein
chr	NC_012034.1	279209	279766	-	31771602	-	ATHE_RS01130	WP_015906850.1	185	hypothetical protein
chr	NC_012034.1	279750	280112	-	31771603	-	ATHE_RS01135	WP_015906851.1	120	hypothetical protein
chr	NC_012034.1	280418	281611	+	31771604	-	ATHE_RS01140	WP_015906852.1	397	glycosyltransferase family 1 protein
chr	NC_012034.1	281651	283789	+	31771605	-	ATHE_RS01145	WP_015906853.1	712	nucleotidyltransferase
chr	NC_012034.1	283862	284848	+	31771606	-	ATHE_RS01150	WP_015906854.1	328	endoglucanase
chr	NC_012034.1	285054	285419	+	31771607	-	ATHE_RS01155	WP_015906855.1	121	DUF2089 domain-containing protein
chr	NC_012034.1	285425	285859	+	31771608	-	ATHE_RS01160	WP_015906856.1	144	hypothetical protein
chr	NC_012034.1	285892	286149	+	31771609	-	ATHE_RS01165	WP_015906857.1	85	hypothetical protein
chr	NC_012034.1	286334	286807	+	31771610	-	ATHE_RS01170	WP_015906858.1	157	teicoplanin resistance protein VanZ
chr	NC_012034.1	286842	287333	-	31771611	-	ATHE_RS01175	WP_015906859.1	163	hypothetical protein
chr	NC_012034.1	287340	288851	-	31771612	-	ATHE_RS01180	WP_015906860.1	503	TrkH family potassium uptake protein
chr	NC_012034.1	289034	289699	-	31771613	-	ATHE_RS01185	WP_013431228.1	221	MULTISPECIES: potassium transporter TrkA
chr	NC_012034.1	289696	290316	-	31771614	-	ATHE_RS01190	WP_013431227.1	206	MULTISPECIES: potassium transporter TrkA
chr	NC_012034.1	290478	292232	+	31771615	-	ATHE_RS01195	WP_015906862.1	584	SpoIID/LytB domain-containing protein
chr	NC_012034.1	292214	293254	+	31771616	-	ATHE_RS01200	WP_015906863.1	346	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
chr	NC_012034.1	293349	293987	+	31771617	-	ATHE_RS01205	WP_015906864.1	212	hypothetical protein
chr	NC_012034.1	294088	295551	+	31771618	-	ATHE_RS01210	WP_015906865.1	487	TIGR02677 family protein
chr	NC_012034.1	295574	296806	+	31771619	-	ATHE_RS01215	WP_015906866.1	410	TIGR02678 family protein
chr	NC_012034.1	296790	300842	+	31771620	-	ATHE_RS01220	WP_015906867.1	1350	TIGR02680 family protein
chr	NC_012034.1	300839	302107	+	31771621	-	ATHE_RS01225	WP_015906868.1	422	DUF2399 domain-containing protein
