Tag	Gene_cnt_chromosome	Gene_list_chromosome	Genome_cnt	1121259.3	31899.1	1387557.3	632292.3	632335.8	632348.3	632516.3	1387555.3	608506.3	632518.3	351627.8	1214564.3	Classification	Pathway	Name	Type	Functional_role
TAG1626	12	"fig|1121259.3.peg.2365,fig|1214564.3.peg.1045,fig|1387555.3.peg.2287,fig|1387557.3.peg.1032,fig|31899.10.peg.1220|SAMN05216182_1033,fig|351627.8.peg.1029|Csac_0910,fig|608506.3.peg.764|COB47_0691,fig|632292.3.peg.2018|Calhy_1926,fig|632335.8.peg.2112|Calkr_1951,fig|632348.3.peg.1988|Calkro_1889,fig|632516.3.peg.563|CallaDRAFT_0539,fig|632518.3.peg.669|Calow_0607"	12	2365	1220	1032	2018	2112	1988	563	2287	764	669	1029	1045	Amino acids	Aspartate Asparagine biosynthesis	GatB	enzyme	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
TAG1627	12	"fig|1121259.3.peg.2366,fig|1214564.3.peg.1046,fig|1387555.3.peg.2288,fig|1387557.3.peg.1031,fig|31899.10.peg.1219|SAMN05216182_1032,fig|351627.8.peg.1028|Csac_0909,fig|608506.3.peg.763|COB47_0690,fig|632292.3.peg.2019|Calhy_1927,fig|632335.8.peg.2113|Calkr_1952,fig|632348.3.peg.1989|Calkro_1890,fig|632516.3.peg.562|CallaDRAFT_0538,fig|632518.3.peg.668|Calow_0606"	12	2366	1219	1031	2019	2113	1989	562	2288	763	668	1028	1046	Amino acids	Aspartate Asparagine biosynthesis	GatA	enzyme	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
TAG3147	11	"fig|1121259.3.peg.2005,fig|1214564.3.peg.695,fig|1387557.3.peg.1792,fig|31899.10.peg.2034|SAMN05216182_1826,fig|351627.8.peg.2408|Csac_2226,fig|608506.3.peg.1109|COB47_1015,fig|632292.3.peg.1282|Calhy_1198,fig|632335.8.peg.1699|Calkr_1569,fig|632348.3.peg.1249|Calkro_1175,fig|632516.3.peg.1104|CallaDRAFT_1045,fig|632518.3.peg.1402|Calow_1317"	11	2005	2034	1792	1282	1699	1249	1104	-	1109	1402	2408	695	Amino acids	Aspartate Asparagine biosynthesis	AsnB	enzyme	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
TAG0769	12	"fig|1121259.3.peg.731,fig|1214564.3.peg.1884,fig|1387555.3.peg.1041,fig|1387557.3.peg.2177,fig|31899.10.peg.2411|SAMN05216182_2195,fig|351627.8.peg.1182|Csac_1049,fig|608506.3.peg.1825|COB47_1703,fig|632292.3.peg.959|Calhy_0889,fig|632335.8.peg.910|Calkr_0805,fig|632348.3.peg.871|Calkro_0820,fig|632516.3.peg.1155|CallaDRAFT_1096,fig|632518.3.peg.1710|Calow_1611"	12	731	2411	2177	959	910	871	1155	1041	1825	1710	1182	1884	Vitamins&Cofactors	B12 uptake	BtuC	transporter	"Vitamin B12 ABC transporter, permease protein BtuC"
TAG0770	12	"fig|1121259.3.peg.730,fig|1214564.3.peg.1883,fig|1387555.3.peg.1042,fig|1387557.3.peg.2176,fig|31899.10.peg.2410|SAMN05216182_2194,fig|351627.8.peg.1183|Csac_1050,fig|608506.3.peg.1824|COB47_1702,fig|632292.3.peg.960|Calhy_0890,fig|632335.8.peg.911|Calkr_0806,fig|632348.3.peg.872|Calkro_0821,fig|632516.3.peg.1156|CallaDRAFT_1097,fig|632518.3.peg.1709|Calow_1610"	12	730	2410	2176	960	911	872	1156	1042	1824	1709	1183	1883	Vitamins&Cofactors	B12 uptake	BtuD	transporter	"Vitamin B12 ABC transporter, ATP-binding protein BtuD"
TAG6707	12	"fig|1121259.3.peg.732,fig|1214564.3.peg.1885,fig|1387555.3.peg.1040,fig|1387557.3.peg.2178,fig|31899.10.peg.2412|SAMN05216182_2196,fig|351627.8.peg.1181|Csac_1048,fig|608506.3.peg.1826|COB47_1704,fig|632292.3.peg.958|Calhy_0888,fig|632335.8.peg.909|Calkr_0804,fig|632348.3.peg.870|Calkro_0819,fig|632516.3.peg.1154|CallaDRAFT_1095,fig|632518.3.peg.1711|Calow_1612"	12	732	2412	2178	958	909	870	1154	1040	1826	1711	1181	1885	Vitamins&Cofactors	B12 uptake	BtuF	transporter	"Vitamin B12 ABC transporter, substrate-binding protein BtuF"
TAG2702	12	"fig|1121259.3.peg.1161,fig|1214564.3.peg.1444,fig|1387557.3.peg.2841,fig|31899.10.peg.79|SAMN05216182_0013,fig|351627.8.peg.232|Csac_0198,fig|351627.8.peg.354|Csac_0304,fig|608506.3.peg.2488|COB47_2290,fig|632292.3.peg.2712|Calhy_2581,fig|632292.3.peg.331|Calhy_0297,fig|632516.3.peg.450|CallaDRAFT_0435,fig|632518.3.peg.2298|Calow_2142,fig|632518.3.peg.2385|Calow_2222"	9	1161	79	2841	"2712,331"	-	-	450	-	2488	"2298,2385"	"232,354"	1444	Vitamins&Cofactors	Biotin biosynthesis	BioY	transporter	Substrate-specific component BioY of biotin ECF transporter
TAG3804	7	"fig|1121259.3.peg.1163,fig|1214564.3.peg.1446,fig|1387557.3.peg.2839,fig|31899.10.peg.77|SAMN05216182_0011,fig|351627.8.peg.356|Csac_0306,fig|632292.3.peg.333|Calhy_0299,fig|632518.3.peg.2296|Calow_2140"	7	1163	77	2839	333	-	-	-	-	-	2296	356	1446	Vitamins&Cofactors	Biotin biosynthesis	BioA	enzyme	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)
TAG3807	7	"fig|1121259.3.peg.1162,fig|1214564.3.peg.1445,fig|1387557.3.peg.2840,fig|31899.10.peg.78|SAMN05216182_0012,fig|351627.8.peg.355|Csac_0305,fig|632292.3.peg.332|Calhy_0298,fig|632518.3.peg.2297|Calow_2141"	7	1162	78	2840	332	-	-	-	-	-	2297	355	1445	Vitamins&Cofactors	Biotin biosynthesis	BioD	enzyme	Dethiobiotin synthase BioD (EC 6.3.3.3)
TAG3989	12	"fig|1121259.3.peg.481,fig|1214564.3.peg.1965,fig|1387555.3.peg.280,fig|1387557.3.peg.469,fig|31899.10.peg.607|SAMN05216182_0464,fig|351627.8.peg.132|Csac_0109,fig|608506.3.peg.229|COB47_0207,fig|632292.3.peg.2526|Calhy_2408,fig|632335.8.peg.233|Calkr_0186,fig|632348.3.peg.2494|Calkro_2369,fig|632516.3.peg.2256|CallaDRAFT_2172,fig|632518.3.peg.160|Calow_0146"	12	481	607	469	2526	233	2494	2256	280	229	160	132	1965	Vitamins&Cofactors	Biotin biosynthesis	BirA	enzyme	Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)
TAG8149	9	"fig|1121259.3.peg.1164,fig|1214564.3.peg.1447,fig|1387557.3.peg.2838,fig|31899.10.peg.76|SAMN05216182_0010,fig|351627.8.peg.357|Csac_0307,fig|608506.3.peg.2339|COB47_2173,fig|632292.3.peg.335|Calhy_0300,fig|632335.8.peg.2361|Calkr_2183,fig|632518.3.peg.2295|Calow_2139"	9	1164	76	2838	335	2361	-	-	-	2339	2295	357	1447	Vitamins&Cofactors	Biotin biosynthesis	BioB	enzyme	Biotin synthase (EC 2.8.1.6)
TAG0774	12	"fig|1121259.3.peg.725,fig|1214564.3.peg.2482,fig|1387555.3.peg.1048,fig|1387557.3.peg.2169,fig|31899.10.peg.2405|SAMN05216182_2189,fig|351627.8.peg.1188|Csac_1055,fig|608506.3.peg.1819|COB47_1697,fig|632292.3.peg.965|Calhy_0895,fig|632335.8.peg.916|Calkr_0811,fig|632348.3.peg.877|Calkro_0826,fig|632516.3.peg.1161|CallaDRAFT_1102,fig|632518.3.peg.1704|Calow_1605"	12	725	2405	2169	965	916	877	1161	1048	1819	1704	1188	2482	Amino acids	Chorismate biosynthesis	AroE	enzyme	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)
TAG0892	12	"fig|1121259.3.peg.1688,fig|1214564.3.peg.709,fig|1387555.3.peg.1198,fig|1387557.3.peg.1961,fig|31899.10.peg.2209|SAMN05216182_1991,fig|351627.8.peg.2422|Csac_2240,fig|608506.3.peg.965|COB47_0885,fig|632292.3.peg.1129|Calhy_1051,fig|632335.8.peg.1849|Calkr_1714,fig|632348.3.peg.1077|Calkro_1015,fig|632516.3.peg.2033|CallaDRAFT_1963,fig|632518.3.peg.1530|Calow_1440"	12	1688	2209	1961	1129	1849	1077	2033	1198	965	1530	2422	709	Amino acids	Chorismate biosynthesis	AroK	enzyme	Shikimate kinase I (EC 2.7.1.71)
TAG0896	12	"fig|1121259.3.peg.1690,fig|1214564.3.peg.707,fig|1387555.3.peg.1200,fig|1387557.3.peg.1959,fig|31899.10.peg.2207|SAMN05216182_1989,fig|351627.8.peg.2420|Csac_2238,fig|608506.3.peg.967|COB47_0887,fig|632292.3.peg.1131|Calhy_1053,fig|632335.8.peg.1847|Calkr_1712,fig|632348.3.peg.1079|Calkro_1017,fig|632516.3.peg.2035|CallaDRAFT_1965,fig|632518.3.peg.1528|Calow_1438"	12	1690	2207	1959	1131	1847	1079	2035	1200	967	1528	2420	707	Amino acids	Chorismate biosynthesis	AroD	enzyme	3-dehydroquinate dehydratase II (EC 4.2.1.10)
TAG1143	12	"fig|1121259.3.peg.189,fig|1214564.3.peg.2405,fig|1387555.3.peg.1560,fig|1387557.3.peg.1591,fig|31899.10.peg.1838|SAMN05216182_1628,fig|351627.8.peg.2093|Csac_1913,fig|608506.3.peg.1312|COB47_1207,fig|632292.3.peg.1463|Calhy_1376,fig|632335.8.peg.1461|Calkr_1338,fig|632348.3.peg.1432|Calkro_1351,fig|632516.3.peg.158|CallaDRAFT_0159,fig|632518.3.peg.1226|Calow_1142"	12	189	1838	1591	1463	1461	1432	158	1560	1312	1226	2093	2405	Amino acids	Chorismate biosynthesis	AroB	enzyme	3-dehydroquinate synthase (EC 4.2.3.4)
TAG1477	12	"fig|1121259.3.peg.1832,fig|1214564.3.peg.350,fig|1387555.3.peg.2044,fig|1387557.3.peg.1115,fig|31899.10.peg.1303|SAMN05216182_1115,fig|351627.8.peg.2917|Csac_2700,fig|608506.3.peg.854|COB47_0780,fig|632292.3.peg.1932|Calhy_1842,fig|632335.8.peg.2026|Calkr_1869,fig|632348.3.peg.1908|Calkro_1810,fig|632516.3.peg.1893|CallaDRAFT_1824,fig|632518.3.peg.753|Calow_0690"	12	1832	1303	1115	1932	2026	1908	1893	2044	854	753	2917	350	Amino acids	Chorismate biosynthesis	AroA	enzyme	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)
TAG6990	12	"fig|1121259.3.peg.1830,fig|1214564.3.peg.352,fig|1387555.3.peg.2042,fig|1387557.3.peg.1117,fig|31899.10.peg.1305|SAMN05216182_1117,fig|351627.8.peg.2915|Csac_2698,fig|608506.3.peg.856|COB47_0782,fig|632292.3.peg.1930|Calhy_1840,fig|632335.8.peg.2024|Calkr_1867,fig|632348.3.peg.1906|Calkro_1808,fig|632516.3.peg.1895|CallaDRAFT_1826,fig|632518.3.peg.755|Calow_0692"	12	1830	1305	1117	1930	2024	1906	1895	2042	856	755	2915	352	Amino acids	Chorismate biosynthesis	AroG	enzyme	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)
TAG7199	12	"fig|1121259.3.peg.118,fig|1214564.3.peg.2333,fig|1387555.3.peg.1638,fig|1387557.3.peg.1520,fig|31899.10.peg.1766|SAMN05216182_1556,fig|351627.8.peg.2021|Csac_1844,fig|608506.3.peg.1383|COB47_1278,fig|632292.3.peg.1534|Calhy_1447,fig|632335.8.peg.1384|Calkr_1262,fig|632348.3.peg.1504|Calkro_1422,fig|632516.3.peg.231|CallaDRAFT_0232,fig|632518.3.peg.1151|Calow_1070"	12	118	1766	1520	1534	1384	1504	231	1638	1383	1151	2021	2333	Amino acids	Chorismate biosynthesis	AroC	enzyme	Chorismate synthase (EC 4.2.3.5)
TAG1282	12	"fig|1121259.3.peg.1789,fig|1214564.3.peg.1669,fig|1387555.3.peg.1750,fig|1387557.3.peg.1862,fig|31899.10.peg.2123|SAMN05216182_1904,fig|351627.8.peg.1907|Csac_1736,fig|608506.3.peg.1053|COB47_0967,fig|632292.3.peg.1219|Calhy_1137,fig|632335.8.peg.1758|Calkr_1627,fig|632348.3.peg.1175|Calkro_1110,fig|632516.3.peg.1564|CallaDRAFT_1504,fig|632518.3.peg.1445|Calow_1359"	12	1789	2123	1862	1219	1758	1175	1564	1750	1053	1445	1907	1669	Amino acids	Cysteine biosynthesis	CysK	enzyme	Cysteine synthase (EC 2.5.1.47)
TAG2136	12	"fig|1121259.3.peg.1228,fig|1214564.3.peg.96,fig|1387555.3.peg.746,fig|1387557.3.peg.2662,fig|31899.10.peg.2819|SAMN05216182_2574,fig|351627.8.peg.812|Csac_0707,fig|608506.3.peg.2167|COB47_2027,fig|632292.3.peg.569|Calhy_0522,fig|632335.8.peg.2442|Calkr_2255,fig|632348.3.peg.421|Calkro_0392,fig|632516.3.peg.857|CallaDRAFT_0819,fig|632518.3.peg.2055|Calow_1932"	12	1228	2819	2662	569	2442	421	857	746	2167	2055	812	96	Amino acids	Cysteine biosynthesis	CysE	enzyme	Serine acetyltransferase (EC 2.3.1.30)
TAG1693	12	"fig|1121259.3.peg.1260,fig|1214564.3.peg.1622,fig|1387555.3.peg.2394,fig|1387557.3.peg.2630,fig|31899.10.peg.2778|SAMN05216182_2534,fig|351627.8.peg.837|Csac_0730,fig|608506.3.peg.2132|COB47_1995,fig|632292.3.peg.593|Calhy_0545,fig|632335.8.peg.412|Calkr_0363,fig|632348.3.peg.452|Calkro_0424,fig|632516.3.peg.2174|CallaDRAFT_2093,fig|632518.3.peg.2024|Calow_1903"	12	1260	2778	2630	593	412	452	2174	2394	2132	2024	837	1622	Vitamins&Cofactors	Folate biosynthesis	PabC	enzyme	Aminodeoxychorismate lyase (EC 4.1.3.38)
TAG1694	11	"fig|1121259.3.peg.1259,fig|1214564.3.peg.1623,fig|1387555.3.peg.2395,fig|1387557.3.peg.2631,fig|31899.10.peg.2779|SAMN05216182_2535,fig|351627.8.peg.836|Csac_0729,fig|608506.3.peg.2133|COB47_1996,fig|632292.3.peg.592|Calhy_0544,fig|632335.8.peg.411|Calkr_0362,fig|632348.3.peg.451|Calkro_0423,fig|632518.3.peg.2025|Calow_1904"	11	1259	2779	2631	592	411	451	2171	2395	2133	2025	836	1623	Vitamins&Cofactors	Folate biosynthesis	PabA	enzyme	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
TAG3722	12	"fig|1121259.3.peg.480,fig|1214564.3.peg.1964,fig|1387555.3.peg.279,fig|1387557.3.peg.470,fig|31899.10.peg.608|SAMN05216182_0465,fig|351627.8.peg.133|Csac_0110,fig|608506.3.peg.230|COB47_0208,fig|632292.3.peg.2525|Calhy_2407,fig|632335.8.peg.234|Calkr_0187,fig|632348.3.peg.2493|Calkro_2368,fig|632516.3.peg.2257|CallaDRAFT_2173,fig|632518.3.peg.161|Calow_0147"	12	480	608	470	2525	234	2493	2257	279	230	161	133	1964	Vitamins&Cofactors	Folate biosynthesis	"FolA,FolP"	enzyme	Alternative dihydrofolate reductase 2 / Dihydropteroate synthase (EC 2.5.1.15)
TAG6124	12	"fig|1121259.3.peg.1258,fig|1214564.3.peg.1624,fig|1387555.3.peg.2396,fig|1387557.3.peg.2632,fig|31899.10.peg.2780|SAMN05216182_2536,fig|351627.8.peg.835|Csac_0728,fig|608506.3.peg.2134|COB47_1997,fig|632292.3.peg.591|Calhy_0543,fig|632335.8.peg.410|Calkr_0361,fig|632348.3.peg.450|Calkro_0422,fig|632516.3.peg.2171|CallaDRAFT_2090,fig|632518.3.peg.2026|Calow_1905"	12	1258	2780	2632	591	410	450	2171	2396	2134	2026	835	1624	Vitamins&Cofactors	Folate biosynthesis	PabB	enzyme	"Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"
TAG7175	12	"fig|1121259.3.peg.478,fig|1214564.3.peg.1962,fig|1387555.3.peg.277,fig|1387557.3.peg.472,fig|31899.10.peg.610|SAMN05216182_0467,fig|351627.8.peg.135|Csac_0112,fig|608506.3.peg.232|COB47_0210,fig|632292.3.peg.2523|Calhy_2405,fig|632335.8.peg.236|Calkr_0189,fig|632348.3.peg.2491|Calkro_2366,fig|632516.3.peg.2259|CallaDRAFT_2175,fig|632518.3.peg.163|Calow_0149"	12	478	610	472	2523	236	2491	2259	277	232	163	135	1962	Vitamins&Cofactors	Folate biosynthesis	FolK	enzyme	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)
TAG7584	12	"fig|1121259.3.peg.320,fig|1214564.3.peg.530,fig|1387555.3.peg.1345,fig|1387557.3.peg.1741,fig|31899.10.peg.1983|SAMN05216182_1769,fig|351627.8.peg.2215|Csac_2037,fig|608506.3.peg.1161|COB47_1064,fig|632292.3.peg.1330|Calhy_1246,fig|632335.8.peg.1599|Calkr_1475,fig|632348.3.peg.1296|Calkro_1220,fig|632516.3.peg.39|CallaDRAFT_0039,fig|632518.3.peg.1356|Calow_1269"	12	320	1983	1741	1330	1599	1296	39	1345	1161	1356	2215	530	Vitamins&Cofactors	Folate biosynthesis	FolC	enzyme	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)
TAG1189	12	"fig|1121259.3.peg.2154,fig|1214564.3.peg.2196,fig|1387555.3.peg.162,fig|1387557.3.peg.652,fig|31899.10.peg.861|SAMN05216182_0702,fig|351627.8.peg.250|Csac_0211,fig|608506.3.peg.440|COB47_0392,fig|632292.3.peg.2331|Calhy_2224,fig|632335.8.peg.2403|Calkr_2220,fig|632348.3.peg.2310|Calkro_2195,fig|632516.3.peg.896|CallaDRAFT_0855,fig|632518.3.peg.304|Calow_0274"	12	2154	861	652	2331	2403	2310	896	162	440	304	250	2196	Vitamins&Cofactors	"Folate biosynthesis,Queuosine biosynthesis"	FolE2	enzyme	GTP cyclohydrolase I (EC 3.5.4.16) type 2
TAG1195	12	"fig|1121259.3.peg.2153,fig|1214564.3.peg.2197,fig|1387555.3.peg.163,fig|1387557.3.peg.651,fig|31899.10.peg.860|SAMN05216182_0701,fig|351627.8.peg.249|Csac_0210,fig|608506.3.peg.439|COB47_0391,fig|632292.3.peg.2332|Calhy_2225,fig|632335.8.peg.2404|Calkr_2221,fig|632348.3.peg.2311|Calkro_2196,fig|632516.3.peg.895|CallaDRAFT_0854,fig|632518.3.peg.303|Calow_0273"	12	2153	860	651	2332	2404	2311	895	163	439	303	249	2197	Vitamins&Cofactors	"Folate biosynthesis,Queuosine biosynthesis"	"PTPS,QueD"	enzyme	"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50) @ Folate biosynthesis protein PTPS-III, catalyzes a reaction that bypasses dihydroneopterin aldolase (FolB)"
TAG1588	11	"fig|1121259.3.peg.2280,fig|1214564.3.peg.953,fig|1387555.3.peg.2222,fig|1387557.3.peg.2429,fig|31899.10.peg.2580|SAMN05216182_2345,fig|351627.8.peg.1528|Csac_1377,fig|608506.3.peg.1930|COB47_1804,fig|632292.3.peg.784|Calhy_0722,fig|632335.8.peg.591|Calkr_0531,fig|632348.3.peg.666|Calkro_0624,fig|632516.3.peg.1070|CallaDRAFT_1013"	11	2280	2580	2429	784	591	666	1070	2222	1930	-	1528	953	Amino acids	Glutamine Glutamate biosynthesis	GltB	enzyme	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)
TAG1798	13	"fig|1121259.3.peg.1402,fig|1214564.3.peg.909,fig|1387555.3.peg.2554,fig|1387555.3.peg.33,fig|1387557.3.peg.2796,fig|31899.10.peg.2936|SAMN05216182_2683,fig|351627.8.peg.669|Csac_0578,fig|608506.3.peg.2288|COB47_2130,fig|632292.3.peg.174|Calhy_0157,fig|632335.8.peg.2607|Calkr_2405,fig|632348.3.peg.185|Calkro_0174,fig|632516.3.peg.924|CallaDRAFT_0878,fig|632518.3.peg.2235|Calow_2088"	12	1402	2936	2796	174	2607	185	924	"2554,33"	2288	2235	669	909	Amino acids	Glutamine Glutamate biosynthesis	GltB	enzyme	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)
