Tag	1094508.3	203119.11	31899.1	394503.7
TAG0302	fig|1094508.3.peg.1726	fig|203119.11.peg.999	fig|31899.10.peg.1866|SAMN05216182_1654	fig|394503.7.peg.635
TAG0332	-	fig|203119.11.peg.609	-	"fig|394503.7.peg.420,fig|394503.7.peg.875"
TAG0353	fig|1094508.3.peg.1759	-	fig|31899.10.peg.2687|SAMN05216182_2445	-
TAG0358	fig|1094508.3.peg.1234	-	-	fig|394503.7.peg.1941
TAG0366	fig|1094508.3.peg.382	"fig|203119.11.peg.1456,fig|203119.11.peg.307"	fig|31899.10.peg.2478|SAMN05216182_2261	fig|394503.7.peg.1494
TAG0367	fig|1094508.3.peg.1619	fig|203119.11.peg.1073	fig|31899.10.peg.149|SAMN05216182_0081	fig|394503.7.peg.2185
TAG0375	fig|1094508.3.peg.1541	fig|203119.11.peg.1014	-	fig|394503.7.peg.1373
TAG0377	"fig|1094508.3.peg.1916,fig|1094508.3.peg.1931,fig|1094508.3.peg.2125"	"fig|203119.11.peg.1299,fig|203119.11.peg.3394,fig|203119.11.peg.712"	"fig|31899.10.peg.1742|SAMN05216182_1532,fig|31899.10.peg.1767|SAMN05216182_1557,fig|31899.10.peg.2054|SAMN05216182_1847"	"fig|394503.7.peg.1411,fig|394503.7.peg.1801,fig|394503.7.peg.505"
TAG0381	fig|1094508.3.peg.1930	"fig|203119.11.peg.127,fig|203119.11.peg.3101"	"fig|31899.10.peg.2191|SAMN05216182_1971,fig|31899.10.peg.855|SAMN05216182_0696"	"fig|394503.7.peg.2354,fig|394503.7.peg.414"
TAG0382	fig|1094508.3.peg.37	fig|203119.11.peg.710	fig|31899.10.peg.2284|SAMN05216182_2072	fig|394503.7.peg.3285
TAG0385	fig|1094508.3.peg.1934	fig|203119.11.peg.378	fig|31899.10.peg.1831|SAMN05216182_1621	-
TAG0386	-	-	-	fig|394503.7.peg.2345
TAG0387	fig|1094508.3.peg.1947	fig|203119.11.peg.869	fig|31899.10.peg.1777|SAMN05216182_1567	fig|394503.7.peg.1954
TAG0389	fig|1094508.3.peg.1951	fig|203119.11.peg.874	fig|31899.10.peg.1482|SAMN05216182_1280	fig|394503.7.peg.1958
TAG0393	fig|1094508.3.peg.1909	fig|203119.11.peg.737	fig|31899.10.peg.1807|SAMN05216182_1597	fig|394503.7.peg.1788
TAG0396	fig|1094508.3.peg.1957	fig|203119.11.peg.882	fig|31899.10.peg.1475|SAMN05216182_1273	fig|394503.7.peg.1965
TAG0401	fig|1094508.3.peg.1973	-	-	fig|394503.7.peg.2484
TAG0407	fig|1094508.3.peg.1982	fig|203119.11.peg.1165	fig|31899.10.peg.2397|SAMN05216182_2183	fig|394503.7.peg.2488
TAG0411	fig|1094508.3.peg.1970	fig|203119.11.peg.2591	fig|31899.10.peg.2209|SAMN05216182_1991	"fig|394503.7.peg.2501,fig|394503.7.peg.388"
TAG0412	fig|1094508.3.peg.1984	fig|203119.11.peg.898	fig|31899.10.peg.2405|SAMN05216182_2189	fig|394503.7.peg.686
TAG0421	-	-	-	fig|394503.7.peg.458
TAG0423	fig|1094508.3.peg.1995	fig|203119.11.peg.1062	-	fig|394503.7.peg.1529
TAG0425	fig|1094508.3.peg.2004	fig|203119.11.peg.162	fig|31899.10.peg.1694|SAMN05216182_1485	fig|394503.7.peg.2306
TAG0460	-	-	fig|31899.10.peg.1703|SAMN05216182_1493	fig|394503.7.peg.1648
TAG0468	fig|1094508.3.peg.98	-	-	fig|394503.7.peg.1872
TAG0469	-	-	fig|31899.10.peg.1392|SAMN05216182_1198	-
TAG0492	fig|1094508.3.peg.2276	-	-	-
TAG0493	fig|1094508.3.peg.1722	fig|203119.11.peg.1117	fig|31899.10.peg.1949|SAMN05216182_1735	fig|394503.7.peg.1732
TAG0501	fig|1094508.3.peg.1214	fig|203119.11.peg.1171	fig|31899.10.peg.2452|SAMN05216182_2235	fig|394503.7.peg.2827
TAG0507	fig|1094508.3.peg.2168	-	-	-
TAG0532	fig|1094508.3.peg.2155	fig|203119.11.peg.362	fig|31899.10.peg.1785|SAMN05216182_1575	fig|394503.7.peg.2300
TAG0533	fig|1094508.3.peg.2157	"fig|203119.11.peg.360,fig|203119.11.peg.453"	fig|31899.10.peg.1783|SAMN05216182_1573	"fig|394503.7.peg.2302,fig|394503.7.peg.2375"
TAG0536	fig|1094508.3.peg.2656	fig|203119.11.peg.2917	fig|31899.10.peg.2345|SAMN05216182_2132	fig|394503.7.peg.843
TAG0539	-	-	fig|31899.10.peg.2422|SAMN05216182_2206	fig|394503.7.peg.32
TAG0540	"fig|1094508.3.peg.132,fig|1094508.3.peg.1701,fig|1094508.3.peg.1829"	"fig|203119.11.peg.2433,fig|203119.11.peg.518,fig|203119.11.peg.851,fig|203119.11.peg.923"	"fig|31899.10.peg.1008|SAMN05216182_0839,fig|31899.10.peg.2280|SAMN05216182_2068,fig|31899.10.peg.2653|SAMN05216182_2413,fig|31899.10.peg.2703|SAMN05216182_2461"	"fig|394503.7.peg.2082,fig|394503.7.peg.2157,fig|394503.7.peg.2385,fig|394503.7.peg.610"
TAG0542	fig|1094508.3.peg.318	fig|203119.11.peg.2768	fig|31899.10.peg.1074|SAMN05216182_0898	fig|394503.7.peg.274
TAG0545	fig|1094508.3.peg.2702	-	-	-
TAG0598	fig|1094508.3.peg.1460	-	-	-
TAG0612	fig|1094508.3.peg.2374	-	-	-
TAG0621	fig|1094508.3.peg.1595	fig|203119.11.peg.468	-	fig|394503.7.peg.2123
TAG0623	fig|1094508.3.peg.575	fig|203119.11.peg.2887	fig|31899.10.peg.1110|SAMN05216182_0931	fig|394503.7.peg.318
TAG0707	fig|1094508.3.peg.2528	fig|203119.11.peg.1354	"fig|31899.10.peg.1051|SAMN05216182_0877,fig|31899.10.peg.1961|SAMN05216182_1747"	fig|394503.7.peg.1942
TAG0739	fig|1094508.3.peg.2129	fig|203119.11.peg.1308	fig|31899.10.peg.1738|SAMN05216182_1528	fig|394503.7.peg.1405
TAG0775	-	-	fig|31899.10.peg.2258|SAMN05216182_2046	-
TAG0817	fig|1094508.3.peg.564	fig|203119.11.peg.465	fig|31899.10.peg.2296|SAMN05216182_2084	fig|394503.7.peg.2126
TAG0821	fig|1094508.3.peg.696	-	fig|31899.10.peg.2304|SAMN05216182_2092	-
TAG0828	fig|1094508.3.peg.91	fig|203119.11.peg.572	fig|31899.10.peg.2748|SAMN05216182_2505	-
TAG0829	fig|1094508.3.peg.89	fig|203119.11.peg.570	fig|31899.10.peg.2746|SAMN05216182_2503	fig|394503.7.peg.1192
TAG0836	fig|1094508.3.peg.2391	-	-	-
TAG0844	fig|1094508.3.peg.2388	-	fig|31899.10.peg.931|SAMN05216182_0762	-
TAG0850	-	"fig|203119.11.peg.633,fig|203119.11.peg.634"	-	"fig|394503.7.peg.1812,fig|394503.7.peg.1813"
TAG0851	fig|1094508.3.peg.2076	fig|203119.11.peg.1131	fig|31899.10.peg.1757|SAMN05216182_1547	fig|394503.7.peg.593
TAG0852	-	fig|203119.11.peg.1858	fig|31899.10.peg.134|SAMN05216182_0062	fig|394503.7.peg.486
TAG0873	fig|1094508.3.peg.2462	"fig|203119.11.peg.1728,fig|203119.11.peg.1819"	-	fig|394503.7.peg.2923
TAG0874	fig|1094508.3.peg.1158	-	-	-
TAG0881	-	-	fig|31899.10.peg.2334|SAMN05216182_2121	fig|394503.7.peg.3019
TAG0909	-	fig|203119.11.peg.641	"fig|31899.10.peg.1490|SAMN05216182_1288,fig|31899.10.peg.1997|SAMN05216182_1783,fig|31899.10.peg.2000|SAMN05216182_1786"	"fig|394503.7.peg.1258,fig|394503.7.peg.1434,fig|394503.7.peg.1808,fig|394503.7.peg.692"
TAG0967	fig|1094508.3.peg.307	-	fig|31899.10.peg.333|SAMN05216182_0207	-
TAG0999	-	fig|203119.11.peg.2175	-	-
TAG1009	fig|1094508.3.peg.17	fig|203119.11.peg.3389	fig|31899.10.peg.1493|SAMN05216182_1291	fig|394503.7.peg.2143
TAG1020	fig|1094508.3.peg.2431	-	-	-
TAG1069	fig|1094508.3.peg.815	fig|203119.11.peg.190	fig|31899.10.peg.1735|SAMN05216182_1525	fig|394503.7.peg.1385
TAG1073	fig|1094508.3.peg.552	fig|203119.11.peg.2518	fig|31899.10.peg.364|SAMN05216182_0238	fig|394503.7.peg.3569
TAG1075	fig|1094508.3.peg.1032	fig|203119.11.peg.3115	fig|31899.10.peg.2245|SAMN05216182_2034	fig|394503.7.peg.795
TAG1079	fig|1094508.3.peg.1016	fig|203119.11.peg.2899	fig|31899.10.peg.1264|SAMN05216182_1077	fig|394503.7.peg.329
TAG1104	-	-	-	fig|394503.7.peg.1738
TAG1115	fig|1094508.3.peg.2038	fig|203119.11.peg.916	fig|31899.10.peg.2202|SAMN05216182_1984	fig|394503.7.peg.3296
TAG1116	fig|1094508.3.peg.551	fig|203119.11.peg.2517	fig|31899.10.peg.363|SAMN05216182_0237	fig|394503.7.peg.3568
TAG1120	fig|1094508.3.peg.1165	fig|203119.11.peg.2505	fig|31899.10.peg.1701|SAMN05216182_1491	fig|394503.7.peg.3557
TAG1129	-	fig|203119.11.peg.2751	-	fig|394503.7.peg.1371
TAG1131	fig|1094508.3.peg.945	fig|203119.11.peg.2400	fig|31899.10.peg.1081|SAMN05216182_0905	fig|394503.7.peg.87
TAG1142	fig|1094508.3.peg.830	fig|203119.11.peg.2831	fig|31899.10.peg.1092|SAMN05216182_0915	fig|394503.7.peg.3162
TAG1144	fig|1094508.3.peg.381	-	-	-
TAG1163	fig|1094508.3.peg.819	fig|203119.11.peg.1486	-	fig|394503.7.peg.826
TAG1170	-	fig|203119.11.peg.2498	-	-
TAG1176	fig|1094508.3.peg.1446	fig|203119.11.peg.2779	fig|31899.10.peg.1915|SAMN05216182_1701	fig|394503.7.peg.287
TAG1177	fig|1094508.3.peg.549	fig|203119.11.peg.2515	fig|31899.10.peg.361|SAMN05216182_0235	fig|394503.7.peg.3566
TAG1189	"fig|1094508.3.peg.2202,fig|1094508.3.peg.2259"	-	-	-
TAG1196	-	fig|203119.11.peg.1431	fig|31899.10.peg.2330|SAMN05216182_2117	fig|394503.7.peg.3015
TAG1215	fig|1094508.3.peg.1159	fig|203119.11.peg.2875	-	fig|394503.7.peg.3007
TAG1223	fig|1094508.3.peg.757	-	fig|31899.10.peg.2031|SAMN05216182_1822	-
TAG1224	fig|1094508.3.peg.756	"fig|203119.11.peg.2558,fig|203119.11.peg.3373"	"fig|31899.10.peg.2032|SAMN05216182_1823,fig|31899.10.peg.957|SAMN05216182_0787"	"fig|394503.7.peg.2236,fig|394503.7.peg.25"
TAG1226	fig|1094508.3.peg.539	fig|203119.11.peg.2345	-	fig|394503.7.peg.139
TAG1248	fig|1094508.3.peg.672	fig|203119.11.peg.2223	fig|31899.10.peg.719|SAMN05216182_0562	fig|394503.7.peg.175
TAG1261	-	fig|203119.11.peg.1756	-	-
TAG1264	-	fig|203119.11.peg.1755	-	fig|394503.7.peg.2138
TAG1271	fig|1094508.3.peg.619	fig|203119.11.peg.2662	fig|31899.10.peg.2977|SAMN05216182_2719	fig|394503.7.peg.3519
TAG1277	fig|1094508.3.peg.633	fig|203119.11.peg.3326	fig|31899.10.peg.2131|SAMN05216182_1912	-
TAG1296	fig|1094508.3.peg.546	fig|203119.11.peg.2529	fig|31899.10.peg.357|SAMN05216182_0231	fig|394503.7.peg.7
TAG1332	-	"fig|203119.11.peg.309,fig|203119.11.peg.3163"	-	fig|394503.7.peg.432
TAG1361	fig|1094508.3.peg.639	fig|203119.11.peg.3301	fig|31899.10.peg.351|SAMN05216182_0225	fig|394503.7.peg.2497
TAG1367	fig|1094508.3.peg.992	fig|203119.11.peg.1884	fig|31899.10.peg.2611|SAMN05216182_2376	fig|394503.7.peg.352
TAG1368	-	fig|203119.11.peg.1883	-	fig|394503.7.peg.353
TAG1373	fig|1094508.3.peg.1315	-	-	-
TAG1383	-	fig|203119.11.peg.2357	-	fig|394503.7.peg.2059
TAG1386	fig|1094508.3.peg.2613	fig|203119.11.peg.2052	fig|31899.10.peg.2584|SAMN05216182_2349	fig|394503.7.peg.3480
TAG1402	fig|1094508.3.peg.174	-	-	-
TAG1421	fig|1094508.3.peg.1433	fig|203119.11.peg.2913	fig|31899.10.peg.1162|SAMN05216182_0974	fig|394503.7.peg.838
TAG1423	fig|1094508.3.peg.2561	-	fig|31899.10.peg.2039|SAMN05216182_1831	fig|394503.7.peg.3538
TAG1452	fig|1094508.3.peg.2673	-	-	fig|394503.7.peg.1307
TAG1453	fig|1094508.3.peg.2672	-	-	fig|394503.7.peg.1308
TAG1454	fig|1094508.3.peg.2671	-	-	fig|394503.7.peg.1309
TAG1455	"fig|1094508.3.peg.1054,fig|1094508.3.peg.1055,fig|1094508.3.peg.254,fig|1094508.3.peg.2670"	"fig|203119.11.peg.1901,fig|203119.11.peg.3137,fig|203119.11.peg.3139"	"fig|31899.10.peg.1321|SAMN05216182_1133,fig|31899.10.peg.2196|SAMN05216182_1978,fig|31899.10.peg.2197|SAMN05216182_1979"	"fig|394503.7.peg.1222,fig|394503.7.peg.1310,fig|394503.7.peg.817,fig|394503.7.peg.819"
TAG1457	fig|1094508.3.peg.2681	-	-	fig|394503.7.peg.1311
TAG1459	fig|1094508.3.peg.2678	-	-	fig|394503.7.peg.1312
TAG1460	fig|1094508.3.peg.2676	-	-	fig|394503.7.peg.1314
TAG1461	fig|1094508.3.peg.2674	-	-	-
TAG1465	fig|1094508.3.peg.294	"fig|203119.11.peg.1108,fig|203119.11.peg.2807"	fig|31899.10.peg.1963|SAMN05216182_1749	fig|394503.7.peg.698
TAG1467	"fig|1094508.3.peg.1496,fig|1094508.3.peg.2575"	fig|203119.11.peg.2323	fig|31899.10.peg.1634|SAMN05216182_1430	fig|394503.7.peg.3485
TAG1478	fig|1094508.3.peg.2721	fig|203119.11.peg.2391	fig|31899.10.peg.2188|SAMN05216182_1968	fig|394503.7.peg.95
TAG1486	fig|1094508.3.peg.2720	fig|203119.11.peg.2390	fig|31899.10.peg.2187|SAMN05216182_1967	fig|394503.7.peg.96
TAG1487	fig|1094508.3.peg.2719	fig|203119.11.peg.2389	fig|31899.10.peg.2186|SAMN05216182_1966	fig|394503.7.peg.97
TAG1490	fig|1094508.3.peg.2713	fig|203119.11.peg.2382	fig|31899.10.peg.2178|SAMN05216182_1958	fig|394503.7.peg.104
TAG1503	fig|1094508.3.peg.2145	fig|203119.11.peg.100	fig|31899.10.peg.1793|SAMN05216182_1583	fig|394503.7.peg.2633
TAG1536	fig|1094508.3.peg.2515	-	fig|31899.10.peg.2849|SAMN05216182_2602	fig|394503.7.peg.649
TAG1540	"fig|1094508.3.peg.1160,fig|1094508.3.peg.2395"	fig|203119.11.peg.2877	fig|31899.10.peg.2607|SAMN05216182_2372	fig|394503.7.peg.3006
TAG1549	fig|1094508.3.peg.1257	fig|203119.11.peg.328	fig|31899.10.peg.1930|SAMN05216182_1716	fig|394503.7.peg.1455
TAG1551	fig|1094508.3.peg.1371	fig|203119.11.peg.125	fig|31899.10.peg.733|SAMN05216182_0576	fig|394503.7.peg.2355
TAG1552	fig|1094508.3.peg.2523	-	-	-
TAG1568	fig|1094508.3.peg.219	-	-	-
TAG1581	-	-	-	fig|394503.7.peg.2876
TAG1582	-	-	-	fig|394503.7.peg.2875
TAG1584	-	-	-	fig|394503.7.peg.2874
TAG1585	-	-	-	fig|394503.7.peg.2871
TAG1586	-	-	-	fig|394503.7.peg.2870
TAG1587	-	-	-	fig|394503.7.peg.2869
TAG1590	-	-	-	fig|394503.7.peg.2868
TAG1592	-	-	-	fig|394503.7.peg.2860
TAG1593	-	-	-	fig|394503.7.peg.2859
TAG1594	-	-	-	fig|394503.7.peg.2858
TAG1601	-	-	-	fig|394503.7.peg.2844
TAG1602	-	-	-	fig|394503.7.peg.2843
TAG1605	-	fig|203119.11.peg.1732	-	fig|394503.7.peg.2841
TAG1611	-	-	-	fig|394503.7.peg.2835
TAG1615	-	-	-	fig|394503.7.peg.2824
TAG1616	-	-	-	fig|394503.7.peg.2823
TAG1622	-	fig|203119.11.peg.547	-	-
TAG1631	fig|1094508.3.peg.527	fig|203119.11.peg.2401	fig|31899.10.peg.1345|SAMN05216182_1158	fig|394503.7.peg.86
TAG1636	-	-	-	fig|394503.7.peg.2819
TAG1638	-	-	-	fig|394503.7.peg.2817
TAG1673	fig|1094508.3.peg.2624	fig|203119.11.peg.399	fig|31899.10.peg.1924|SAMN05216182_1710	fig|394503.7.peg.2265
TAG1676	fig|1094508.3.peg.2617	fig|203119.11.peg.1317	fig|31899.10.peg.1939|SAMN05216182_1725	fig|394503.7.peg.2245
TAG1677	fig|1094508.3.peg.2616	fig|203119.11.peg.1316	fig|31899.10.peg.1938|SAMN05216182_1724	fig|394503.7.peg.2244
TAG1678	fig|1094508.3.peg.2615	fig|203119.11.peg.1315	fig|31899.10.peg.1937|SAMN05216182_1723	fig|394503.7.peg.2243
TAG1682	fig|1094508.3.peg.100	-	-	-
TAG1683	fig|1094508.3.peg.102	-	-	-
TAG1684	fig|1094508.3.peg.1081	-	-	-
TAG1685	fig|1094508.3.peg.1083	-	-	-
TAG1686	fig|1094508.3.peg.1084	-	-	-
TAG1687	fig|1094508.3.peg.1088	-	-	-
TAG1688	fig|1094508.3.peg.1089	-	-	-
TAG1689	fig|1094508.3.peg.1090	-	-	-
TAG1690	fig|1094508.3.peg.1092	-	-	-
TAG1691	fig|1094508.3.peg.1093	-	-	-
TAG1692	fig|1094508.3.peg.1094	-	-	-
TAG1693	fig|1094508.3.peg.1097	-	-	-
TAG1694	fig|1094508.3.peg.1100	-	-	-
TAG1695	fig|1094508.3.peg.1101	-	-	-
TAG1696	fig|1094508.3.peg.1103	-	-	-
TAG1697	fig|1094508.3.peg.1104	-	-	-
TAG1698	fig|1094508.3.peg.1105	-	-	-
TAG1699	fig|1094508.3.peg.1106	-	-	-
TAG1700	fig|1094508.3.peg.1107	-	-	-
TAG1701	fig|1094508.3.peg.1108	-	-	-
TAG1702	fig|1094508.3.peg.1109	-	-	-
TAG1703	fig|1094508.3.peg.1118	-	"fig|31899.10.peg.236|SAMN05216182_0147,fig|31899.10.peg.3055|SAMN05216182_2791"	-
TAG1704	fig|1094508.3.peg.1120	-	-	-
TAG1705	fig|1094508.3.peg.1121	-	-	-
TAG1706	fig|1094508.3.peg.1122	-	-	-
TAG1707	fig|1094508.3.peg.1125	fig|203119.11.peg.3355	-	fig|394503.7.peg.656
TAG1708	fig|1094508.3.peg.1127	-	-	-
TAG1709	fig|1094508.3.peg.1132	-	-	-
TAG1710	"fig|1094508.3.peg.1134,fig|1094508.3.peg.1207,fig|1094508.3.peg.242,fig|1094508.3.peg.816"	"fig|203119.11.peg.1794,fig|203119.11.peg.257"	"fig|31899.10.peg.195|SAMN05216182_0117,fig|31899.10.peg.2455|SAMN05216182_2238,fig|31899.10.peg.2742|SAMN05216182_2499,fig|31899.10.peg.726|SAMN05216182_0569"	"fig|394503.7.peg.1098,fig|394503.7.peg.1179,fig|394503.7.peg.249"
TAG1711	fig|1094508.3.peg.1136	-	-	-
TAG1712	fig|1094508.3.peg.1138	-	-	-
TAG1713	fig|1094508.3.peg.1139	-	-	-
TAG1714	fig|1094508.3.peg.1140	-	-	-
TAG1715	fig|1094508.3.peg.1146	-	-	-
TAG1716	fig|1094508.3.peg.1150	-	-	-
TAG1717	fig|1094508.3.peg.1162	-	-	-
TAG1718	fig|1094508.3.peg.1166	-	-	-
TAG1719	fig|1094508.3.peg.1168	-	-	-
TAG1720	fig|1094508.3.peg.1172	-	fig|31899.10.peg.572|SAMN05216182_0430	-
TAG1721	fig|1094508.3.peg.1174	-	-	-
TAG1722	fig|1094508.3.peg.1175	-	-	-
TAG1723	fig|1094508.3.peg.1176	-	fig|31899.10.peg.575|SAMN05216182_0433	-
TAG1724	fig|1094508.3.peg.1179	-	-	-
TAG1725	fig|1094508.3.peg.1188	-	-	-
TAG1726	fig|1094508.3.peg.1189	-	-	-
TAG1727	fig|1094508.3.peg.1208	-	-	-
TAG1728	fig|1094508.3.peg.1221	-	-	-
TAG1729	fig|1094508.3.peg.1229	-	-	-
TAG1730	fig|1094508.3.peg.124	-	-	-
TAG1731	fig|1094508.3.peg.1285	-	-	-
TAG1732	"fig|1094508.3.peg.1173,fig|1094508.3.peg.1286,fig|1094508.3.peg.1363,fig|1094508.3.peg.1467,fig|1094508.3.peg.1479,fig|1094508.3.peg.1485,fig|1094508.3.peg.150,fig|1094508.3.peg.1531,fig|1094508.3.peg.1536,fig|1094508.3.peg.166,fig|1094508.3.peg.201,fig|1094508.3.peg.2116,fig|1094508.3.peg.2284,fig|1094508.3.peg.2331,fig|1094508.3.peg.2353,fig|1094508.3.peg.342,fig|1094508.3.peg.499,fig|1094508.3.peg.703"	"fig|203119.11.peg.1070,fig|203119.11.peg.2255"	"fig|31899.10.peg.1030|SAMN05216182_0861,fig|31899.10.peg.1055|SAMN05216182_0881,fig|31899.10.peg.124|SAMN05216182_0053,fig|31899.10.peg.1311|SAMN05216182_1123,fig|31899.10.peg.2576|SAMN05216182_2341,fig|31899.10.peg.2599|SAMN05216182_2364,fig|31899.10.peg.2628|SAMN05216182_2390,fig|31899.10.peg.2642|SAMN05216182_2403,fig|31899.10.peg.2881|SAMN05216182_2628,fig|31899.10.peg.2907|SAMN05216182_2654,fig|31899.10.peg.2954|SAMN05216182_2697,fig|31899.10.peg.470|SAMN05216182_0340,fig|31899.10.peg.573|SAMN05216182_0431,fig|31899.10.peg.816|SAMN05216182_0662,fig|31899.10.peg.89|SAMN05216182_0021"	"fig|394503.7.peg.1048,fig|394503.7.peg.1060,fig|394503.7.peg.1171,fig|394503.7.peg.151,fig|394503.7.peg.159,fig|394503.7.peg.211,fig|394503.7.peg.2168,fig|394503.7.peg.2533,fig|394503.7.peg.3076,fig|394503.7.peg.3323"
TAG1733	fig|1094508.3.peg.1288	-	-	-
TAG1734	fig|1094508.3.peg.1290	-	fig|31899.10.peg.2445|SAMN05216182_2227	fig|394503.7.peg.2527
TAG1735	fig|1094508.3.peg.1296	-	-	-
TAG1736	fig|1094508.3.peg.1303	-	-	-
TAG1737	fig|1094508.3.peg.1304	-	-	-
TAG1738	fig|1094508.3.peg.1305	-	-	-
TAG1739	fig|1094508.3.peg.130	-	-	-
TAG1740	fig|1094508.3.peg.1313	-	-	-
TAG1741	fig|1094508.3.peg.1323	-	-	-
TAG1742	fig|1094508.3.peg.1324	-	-	-
TAG1743	fig|1094508.3.peg.1342	-	-	-
TAG1744	fig|1094508.3.peg.1344	-	-	-
TAG1745	fig|1094508.3.peg.1345	-	-	-
TAG1746	fig|1094508.3.peg.1348	-	-	-
TAG1747	fig|1094508.3.peg.1354	-	-	-
TAG1748	"fig|1094508.3.peg.1356,fig|1094508.3.peg.1533"	-	-	-
TAG1749	fig|1094508.3.peg.1359	-	-	-
TAG1750	fig|1094508.3.peg.1364	-	-	-
TAG1751	fig|1094508.3.peg.1370	-	-	-
