TAG	Rep_gene	Rep_len	Rep_genome	Gene_cnt_chromosome	Gene_list_chromosome	Gene_cnt_plasmid	Gene_list_plasmid	Genome_cnt	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3	most_common_function	function_proportion	count_result
TAG0011	fig|1121259.3.peg.1108	299	1121259.3	2	fig|1121259.3.peg.1108,fig|632292.3.peg.1721|Calhy_1628	0	-	2	1121259.3;632292.3	1108	-	-	-	-	-	-	-	1721	-	-	-	-	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)': 2})
TAG0012	fig|1121259.3.peg.1109	544	1121259.3	2	fig|1121259.3.peg.1109,fig|632292.3.peg.1720|Calhy_1627	0	-	2	1121259.3;632292.3	1109	-	-	-	-	-	-	-	1720	-	-	-	-	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 2})
TAG0013	fig|1121259.3.peg.1110	319	1121259.3	2	fig|1121259.3.peg.1110,fig|632292.3.peg.1719|Calhy_1626	0	-	2	1121259.3;632292.3	1110	-	-	-	-	-	-	-	1719	-	-	-	-	ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)': 2})
TAG0014	fig|1121259.3.peg.1111	815	1121259.3	2	fig|1121259.3.peg.1111,fig|632292.3.peg.1718|Calhy_1625	0	-	2	1121259.3;632292.3	1111	-	-	-	-	-	-	-	1718	-	-	-	-	alpha-L-arabinofuranosidase (EC 3.2.1.55)	1.0	Counter({'alpha-L-arabinofuranosidase (EC 3.2.1.55)': 2})
TAG0015	fig|1121259.3.peg.1112	498	1121259.3	4	fig|1121259.3.peg.1112,fig|351627.8.peg.1719|Csac_1560,fig|632292.3.peg.1717|Calhy_1624,fig|632518.3.peg.1000|Calow_0925	0	-	4	1121259.3;351627.8;632292.3;632518.3	1112	-	-	-	-	-	1719	-	1717	-	-	-	1000	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
TAG0016	fig|1121259.3.peg.1114	39	1121259.3	1	fig|1121259.3.peg.1114	0	-	1	1121259.3	1114	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0017	fig|1121259.3.peg.1159	43	1121259.3	1	fig|1121259.3.peg.1159	0	-	1	1121259.3	1159	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0018	fig|1121259.3.peg.1160	576	1121259.3	2	fig|1121259.3.peg.1160,fig|632292.3.peg.317|Calhy_0287	0	-	2	1121259.3;632292.3	1160	-	-	-	-	-	-	-	317	-	-	-	-	Overcoming lysogenization defect protein Old	1.0	Counter({'Overcoming lysogenization defect protein Old': 2})
TAG0019	fig|1121259.3.peg.1169	39	1121259.3	1	fig|1121259.3.peg.1169	0	-	1	1121259.3	1169	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0020	fig|1121259.3.peg.1175	121	1121259.3	1	fig|1121259.3.peg.1175	0	-	1	1121259.3	1175	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0021	fig|1121259.3.peg.1177	180	1121259.3	1	fig|1121259.3.peg.1177	0	-	1	1121259.3	1177	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0022	fig|1121259.3.peg.1178	566	1121259.3	11	fig|1121259.3.peg.1178,fig|1214564.3.peg.2484,fig|1387557.3.peg.2738,fig|1387569.3.peg.428,fig|31899.10.peg.2878|SAMN05216182_2626,fig|351627.8.peg.2683|Csac_2487,fig|608506.3.peg.2216|COB47_2073,fig|632292.3.peg.492|Calhy_0449,fig|632335.8.peg.2521|Calkr_2329,fig|632348.3.peg.351|Calkro_0326,fig|632518.3.peg.2143|Calow_2004	0	-	11	1121259.3;1214564.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632518.3	1178	2484	-	2738	428	2878	2683	2216	492	2521	351	-	2143	Methyl-accepting chemotaxis protein	1.0	Counter({'Methyl-accepting chemotaxis protein': 11})
TAG0023	fig|1121259.3.peg.1179	39	1121259.3	2	fig|1121259.3.peg.1179,fig|608506.3.peg.2212	0	-	2	1121259.3;608506.3	1179	-	-	-	-	-	-	2212	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0024	fig|1121259.3.peg.1181	270	1121259.3	1	fig|1121259.3.peg.1181	0	-	1	1121259.3	1181	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0025	fig|1121259.3.peg.1182	407	1121259.3	1	fig|1121259.3.peg.1182	0	-	1	1121259.3	1182	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0026	fig|1121259.3.peg.1185	147	1121259.3	1	fig|1121259.3.peg.1185	0	-	1	1121259.3	1185	-	-	-	-	-	-	-	-	-	-	-	-	FIG00468482: hypothetical protein	1.0	Counter({'FIG00468482: hypothetical protein': 1})
TAG0027	fig|1121259.3.peg.1190	173	1121259.3	1	fig|1121259.3.peg.1190	0	-	1	1121259.3	1190	-	-	-	-	-	-	-	-	-	-	-	-	dNTP triphosphohydrolase, broad substrate specificity	1.0	Counter({'dNTP triphosphohydrolase, broad substrate specificity': 1})
TAG0028	fig|1121259.3.peg.1191	129	1121259.3	1	fig|1121259.3.peg.1191	0	-	1	1121259.3	1191	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0029	fig|1121259.3.peg.1192	104	1121259.3	1	fig|1121259.3.peg.1192	0	-	1	1121259.3	1192	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0030	fig|1121259.3.peg.1193	57	1121259.3	1	fig|1121259.3.peg.1193	0	-	1	1121259.3	1193	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0031	fig|1121259.3.peg.1194	71	1121259.3	2	fig|1121259.3.peg.1194,fig|1387569.3.peg.2140	0	-	2	1121259.3;1387569.3	1194	-	-	-	2140	-	-	-	-	-	-	-	-	Transcriptional regulator, AcrR family	1.0	Counter({'Transcriptional regulator, AcrR family': 2})
TAG0032	fig|1121259.3.peg.1201	266	1121259.3	12	fig|1121259.3.peg.1201,fig|1214564.3.peg.2187,fig|1387555.3.peg.153,fig|1387557.3.peg.2719,fig|1387569.3.peg.495,fig|31899.10.peg.2857|SAMN05216182_2607,fig|351627.8.peg.259|Csac_0220,fig|608506.3.peg.2194|COB47_2053,fig|632292.3.peg.512|Calhy_0468,fig|632348.3.peg.375|Calkro_0346,fig|632516.3.peg.2075|CallaDRAFT_2004,fig|632518.3.peg.2119|Calow_1985	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632348.3;632516.3;632518.3	1201	2187	153	2719	495	2857	259	2194	512	-	375	2075	2119	Iron-sulfur cluster carrier protein, CA_C2982 type	1.0	Counter({'Iron-sulfur cluster carrier protein, CA_C2982 type': 12})
TAG0033	fig|1121259.3.peg.1203	152	1121259.3	13	fig|1121259.3.peg.1203,fig|1214564.3.peg.2184,fig|1387555.3.peg.149,fig|1387557.3.peg.2716,fig|1387569.3.peg.498,fig|31899.10.peg.2851|SAMN05216182_2603,fig|351627.8.peg.262|Csac_0223,fig|608506.3.peg.2188|COB47_2047,fig|632292.3.peg.519|Calhy_0474,fig|632335.8.peg.2488|Calkr_2298,fig|632348.3.peg.377|Calkro_0348,fig|632516.3.peg.2079|CallaDRAFT_2008,fig|632518.3.peg.2115|Calow_1982	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1203	2184	149	2716	498	2851	262	2188	519	2488	377	2079	2115	Dinitrogenase iron-molybdenum cofactor biosynthesis protein	0.769230769231	Counter({'Dinitrogenase iron-molybdenum cofactor biosynthesis protein': 10, 'MTH1175-like domain family protein': 3})
TAG0034	fig|1121259.3.peg.1212	409	1121259.3	13	fig|1121259.3.peg.1212,fig|1214564.3.peg.2173,fig|1387555.3.peg.144,fig|1387557.3.peg.2707,fig|1387569.3.peg.510,fig|31899.10.peg.2842|SAMN05216182_2595,fig|351627.8.peg.271|Csac_0232,fig|608506.3.peg.2179|COB47_2039,fig|632292.3.peg.529|Calhy_0483,fig|632335.8.peg.2479|Calkr_2290,fig|632348.3.peg.385|Calkro_0356,fig|632516.3.peg.2087|CallaDRAFT_2016,fig|632518.3.peg.2103|Calow_1972	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1212	2173	144	2707	510	2842	271	2179	529	2479	385	2087	2103	Glutamate 2,3-aminomutase (EC 5.4.3.9)	1.0	Counter({'Glutamate 2,3-aminomutase (EC 5.4.3.9)': 13})
TAG0035	fig|1121259.3.peg.1220	53	1121259.3	1	fig|1121259.3.peg.1220	0	-	1	1121259.3	1220	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0036	fig|1121259.3.peg.1238	654	1121259.3	8	fig|1121259.3.peg.1238,fig|1214564.3.peg.368,fig|1387557.3.peg.2643,fig|31899.10.peg.2806|SAMN05216182_2561,fig|351627.8.peg.823|Csac_0717,fig|632292.3.peg.580|Calhy_0533,fig|632348.3.peg.432|Calkro_0404,fig|632518.3.peg.2046|Calow_1923	0	-	8	1121259.3;1214564.3;1387557.3;31899.10;351627.8;632292.3;632348.3;632518.3	1238	368	-	2643	-	2806	823	-	580	-	432	-	2046	Putative glycosyl hydrolase of unknown function (DUF1680)	1.0	Counter({'Putative glycosyl hydrolase of unknown function (DUF1680)': 8})
TAG0037	fig|1121259.3.peg.1247	125	1121259.3	5	fig|1121259.3.peg.1247,fig|31899.10.peg.2798|SAMN05216182_2553,fig|608506.3.peg.2150|COB47_2011,fig|632348.3.peg.440|Calkro_0412,fig|632518.3.peg.2039|Calow_1916	0	-	5	1121259.3;31899.10;608506.3;632348.3;632518.3	1247	-	-	-	-	2798	-	2150	-	-	440	-	2039	Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY	1.0	Counter({'Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY': 5})
TAG0038	fig|1121259.3.peg.1276	66	1121259.3	11	fig|1121259.3.peg.1276,fig|1214564.3.peg.1405,fig|1387555.3.peg.829,fig|1387557.3.peg.2615,fig|31899.10.peg.2758,fig|351627.8.peg.1372,fig|608506.3.peg.2117,fig|632292.3.peg.611,fig|632335.8.peg.429,fig|632516.3.peg.2189,fig|632518.3.peg.2009	0	-	11	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632516.3;632518.3	1276	1405	829	2615	-	2758	1372	2117	611	429	-	2189	2009	hypothetical protein	1.0	Counter({'hypothetical protein': 11})
TAG0039	fig|1121259.3.peg.1282	38	1121259.3	1	fig|1121259.3.peg.1282	0	-	1	1121259.3	1282	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0040	fig|1121259.3.peg.1288	51	1121259.3	1	fig|1121259.3.peg.1288	0	-	1	1121259.3	1288	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0041	fig|1121259.3.peg.1312	38	1121259.3	1	fig|1121259.3.peg.1312	0	-	1	1121259.3	1312	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0042	fig|1121259.3.peg.1315	38	1121259.3	1	fig|1121259.3.peg.1315	0	-	1	1121259.3	1315	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0043	fig|1121259.3.peg.1317	194	1121259.3	1	fig|1121259.3.peg.1317	0	-	1	1121259.3	1317	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0044	fig|1121259.3.peg.1321	42	1121259.3	1	fig|1121259.3.peg.1321	0	-	1	1121259.3	1321	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0045	fig|1121259.3.peg.1336	39	1121259.3	1	fig|1121259.3.peg.1336	0	-	1	1121259.3	1336	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0046	fig|1121259.3.peg.1351	51	1121259.3	1	fig|1121259.3.peg.1351	0	-	1	1121259.3	1351	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0047	fig|1121259.3.peg.1357	38	1121259.3	2	fig|1121259.3.peg.1357,fig|632292.3.peg.218	0	-	2	1121259.3;632292.3	1357	-	-	-	-	-	-	-	218	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0048	fig|1121259.3.peg.1359	55	1121259.3	2	fig|1121259.3.peg.1359,fig|632335.8.peg.2557	0	-	2	1121259.3;632335.8	1359	-	-	-	-	-	-	-	-	2557	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0049	fig|1121259.3.peg.1374	43	1121259.3	2	fig|1121259.3.peg.1374,fig|632348.3.peg.216	0	-	2	1121259.3;632348.3	1374	-	-	-	-	-	-	-	-	-	216	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0050	fig|1121259.3.peg.1380	141	1121259.3	2	fig|1121259.3.peg.1380,fig|632516.3.peg.932|CallaDRAFT_0885	0	-	2	1121259.3;632516.3	1380	-	-	-	-	-	-	-	-	-	-	932	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0051	fig|1121259.3.peg.1381	310	1121259.3	1	fig|1121259.3.peg.1381	0	-	1	1121259.3	1381	-	-	-	-	-	-	-	-	-	-	-	-	Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)	1.0	Counter({'Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)': 1})
TAG0052	fig|1121259.3.peg.1383	427	1121259.3	1	fig|1121259.3.peg.1383	0	-	1	1121259.3	1383	-	-	-	-	-	-	-	-	-	-	-	-	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	1.0	Counter({'FAD-dependent pyridine nucleotide-disulphide oxidoreductase': 1})
TAG0053	fig|1121259.3.peg.1384	490	1121259.3	1	fig|1121259.3.peg.1384	0	-	1	1121259.3	1384	-	-	-	-	-	-	-	-	-	-	-	-	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	1.0	Counter({'Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)': 1})
TAG0054	fig|1121259.3.peg.1386	1050	1121259.3	1	fig|1121259.3.peg.1386	0	-	1	1121259.3	1386	-	-	-	-	-	-	-	-	-	-	-	-	beta-galactosidase (EC 3.2.1.23)	1.0	Counter({'beta-galactosidase (EC 3.2.1.23)': 1})
TAG0055	fig|1121259.3.peg.1387	393	1121259.3	1	fig|1121259.3.peg.1387	0	-	1	1121259.3	1387	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0056	fig|1121259.3.peg.1388	272	1121259.3	1	fig|1121259.3.peg.1388	0	-	1	1121259.3	1388	-	-	-	-	-	-	-	-	-	-	-	-	beta-galactoside ABC tramsporter, permease protein LacG	1.0	Counter({'beta-galactoside ABC tramsporter, permease protein LacG': 1})
TAG0057	fig|1121259.3.peg.1389	300	1121259.3	1	fig|1121259.3.peg.1389	0	-	1	1121259.3	1389	-	-	-	-	-	-	-	-	-	-	-	-	beta-galactoside ABC tramsporter, permease protein LacF	1.0	Counter({'beta-galactoside ABC tramsporter, permease protein LacF': 1})
TAG0058	fig|1121259.3.peg.1390	431	1121259.3	1	fig|1121259.3.peg.1390	0	-	1	1121259.3	1390	-	-	-	-	-	-	-	-	-	-	-	-	beta-galactoside ABC tramsporter, substrate-binding protein LacE	1.0	Counter({'beta-galactoside ABC tramsporter, substrate-binding protein LacE': 1})
TAG0059	fig|1121259.3.peg.1391	39	1121259.3	1	fig|1121259.3.peg.1391	0	-	1	1121259.3	1391	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0060	fig|1121259.3.peg.1392	37	1121259.3	1	fig|1121259.3.peg.1392	0	-	1	1121259.3	1392	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0061	fig|1121259.3.peg.1393	191	1121259.3	1	fig|1121259.3.peg.1393	0	-	1	1121259.3	1393	-	-	-	-	-	-	-	-	-	-	-	-	Glycerol uptake operon antiterminator regulatory protein	1.0	Counter({'Glycerol uptake operon antiterminator regulatory protein': 1})
TAG0062	fig|1121259.3.peg.1394	43	1121259.3	1	fig|1121259.3.peg.1394	0	-	1	1121259.3	1394	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0063	fig|1121259.3.peg.1410	173	1121259.3	1	fig|1121259.3.peg.1410	0	-	1	1121259.3	1410	-	-	-	-	-	-	-	-	-	-	-	-	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
TAG0064	fig|1121259.3.peg.1426	46	1121259.3	1	fig|1121259.3.peg.1426	0	-	1	1121259.3	1426	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0065	fig|1121259.3.peg.1428	50	1121259.3	1	fig|1121259.3.peg.1428	0	-	1	1121259.3	1428	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0066	fig|1121259.3.peg.1447	45	1121259.3	2	fig|1121259.3.peg.1447,fig|31899.10.peg.171	0	-	2	1121259.3;31899.10	1447	-	-	-	-	171	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0067	fig|1121259.3.peg.1449	129	1121259.3	2	fig|1121259.3.peg.1449,fig|632518.3.peg.2341|Calow_2184	0	-	2	1121259.3;632518.3	1449	-	-	-	-	-	-	-	-	-	-	-	2341	Nucleotidyltransferase domain protein, SO_3165 group	1.0	Counter({'Nucleotidyltransferase domain protein, SO_3165 group': 2})
TAG0068	fig|1121259.3.peg.1451	39	1121259.3	1	fig|1121259.3.peg.1451	0	-	1	1121259.3	1451	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0069	fig|1121259.3.peg.1456	384	1121259.3	12	fig|1121259.3.peg.1456,fig|1214564.3.peg.1178,fig|1387555.3.peg.2544,fig|1387557.3.peg.2786,fig|1387557.3.peg.94,fig|31899.10.peg.178|SAMN05216182_0106,fig|351627.8.peg.588|Csac_0511,fig|608506.3.peg.2399|COB47_2232,fig|632292.3.peg.2637|Calhy_2510,fig|632335.8.peg.77|Calkr_0050,fig|632348.3.peg.2595|Calkro_2459,fig|632516.3.peg.486|CallaDRAFT_0467	0	-	11	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3	1456	1178	2544	2786,94	-	178	588	2399	2637	77	2595	486	-	sensor histidine kinase, putative	0.666666666667	Counter({'sensor histidine kinase, putative': 8, 'hypothetical protein': 3, 'Putative signal transduction histidine kinase': 1})
TAG0070	fig|1121259.3.peg.1462	502	1121259.3	2	fig|1121259.3.peg.1462,fig|632292.3.peg.736|Calhy_0678	0	-	2	1121259.3;632292.3	1462	-	-	-	-	-	-	-	736	-	-	-	-	Fucose ABC transporter, ATP-binding protein / Fucose ABC transporter, ATP-binding protein	0.5	Counter({'Fucose ABC transporter, ATP-binding protein / Fucose ABC transporter, ATP-binding protein': 1, 'ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)': 1})
TAG0071	fig|1121259.3.peg.1463	330	1121259.3	1	fig|1121259.3.peg.1463	0	-	1	1121259.3	1463	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0072	fig|1121259.3.peg.1470	68	1121259.3	1	fig|1121259.3.peg.1470	0	-	1	1121259.3	1470	-	-	-	-	-	-	-	-	-	-	-	-	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
TAG0073	fig|1121259.3.peg.1472	45	1121259.3	1	fig|1121259.3.peg.1472	0	-	1	1121259.3	1472	-	-	-	-	-	-	-	-	-	-	-	-	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
TAG0074	fig|1121259.3.peg.1474	107	1121259.3	1	fig|1121259.3.peg.1474	0	-	1	1121259.3	1474	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0075	fig|1121259.3.peg.1475	137	1121259.3	1	fig|1121259.3.peg.1475	0	-	1	1121259.3	1475	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0076	fig|1121259.3.peg.1478	44	1121259.3	1	fig|1121259.3.peg.1478	0	-	1	1121259.3	1478	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
