patric_id	KO	COG	COG_function
fig|31899.10.peg.123	K00688	G	"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)"
fig|31899.10.peg.124	"K02026,K10112,K15772"	P	"ABC transporter, permease"
fig|31899.10.peg.125	"K02025,K05814,K15770,K15771"	P	permease protein
fig|31899.10.peg.126	"K01176,K01200,K01208,K01234"	G	"alpha amylase, catalytic region"
fig|31899.10.peg.127	K01628	G	Class II aldolase adducin family protein
fig|31899.10.peg.128		S	glycoside hydrolase family 2 sugar binding
fig|31899.10.peg.129	K00548	S	domain protein
fig|31899.10.peg.130	K06374	S	nucleoside recognition domain protein
fig|31899.10.peg.131	K06373	S	nucleoside recognition domain protein
fig|31899.10.peg.133		S	oxidoreductase Domain protein
fig|31899.10.peg.134	K02005	M	Efflux transporter RND family MFP subunit
fig|31899.10.peg.135	K02003	V	Part of the ABC transporter complex MacAB involved in macrolide export. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
fig|31899.10.peg.136	K02004	V	ABC transporter
fig|31899.10.peg.137	K07650	T	Histidine kinase
fig|31899.10.peg.139	K00797	S	spermine synthase
fig|31899.10.peg.141	"K01176,K01182,K05343"	G	"alpha amylase, catalytic region"
fig|31899.10.peg.142		S	Purine or other phosphorylase family 1
fig|31899.10.peg.143	K03716	L	Spore photoproduct lyase
fig|31899.10.peg.144		L	Transposase
fig|31899.10.peg.145		S	Uncharacterised protein family (UPF0150)
fig|31899.10.peg.146		S	Pfam:DUF820
fig|31899.10.peg.147		D	"Required for the thiolation of cytidine in position 32 of tRNA, to form 2-thiocytidine (s(2)C32) (By similarity)"
fig|31899.10.peg.148		D	domain protein
fig|31899.10.peg.149	K06398	S	ATPase. Has a role at an early stage in the morphogenesis of the spore coat (By similarity)
fig|31899.10.peg.150	K07243	P	"iron permease, FTR1"
fig|31899.10.peg.151		S	"Regulatory protein, FmdB family"
fig|31899.10.peg.152		S	NA
fig|31899.10.peg.153		S	NA
fig|31899.10.peg.154	K00384	O	reductase
fig|31899.10.peg.155		S	protein from nitrogen regulatory protein P-II
fig|31899.10.peg.156	K09013	O	feS assembly ATPase SufC
fig|31899.10.peg.157	"K07033,K09014"	O	FeS assembly protein SUFB
fig|31899.10.peg.158	K02004	V	ABC transporter
fig|31899.10.peg.159	K02005	M	"Efflux transporter rnd family, mfp subunit"
fig|31899.10.peg.160		S	Yip1 domain
fig|31899.10.peg.163		V	ABC transporter
fig|31899.10.peg.164		S	Integral membrane protein DUF95
fig|31899.10.peg.166		S	Bacteriocin class IId cyclical uberolysin-like
fig|31899.10.peg.168	K06147	V	ABC transporter
fig|31899.10.peg.169	K06147	V	Abc transporter
fig|31899.10.peg.170		K	"Transcriptional regulator, MarR family"
fig|31899.10.peg.172	K07150	S	Membrane
fig|31899.10.peg.173		S	NA
fig|31899.10.peg.174	K01990	V	"ABC transporter, ATP-binding protein"
fig|31899.10.peg.175	K01992	V	ABC-2 type transporter
fig|31899.10.peg.176	K01992	V	ABC-2 type transporter
fig|31899.10.peg.178		T	Histidine kinase
fig|31899.10.peg.179		T	"two component transcriptional regulator, luxr family"
fig|31899.10.peg.183		S	Transposase
fig|31899.10.peg.189		O	"peptidase, M48"
fig|31899.10.peg.193		S	NA
fig|31899.10.peg.195	K03892	K	ArsR family transcriptional regulator
fig|31899.10.peg.196	K07089	S	permease
fig|31899.10.peg.197		"C, O"	redox-active disulfide protein 2
fig|31899.10.peg.198	K07720	K	"Transcriptional regulator, ARAC family"
fig|31899.10.peg.199	"K06879,K09457"	S	Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1) (By similarity)
fig|31899.10.peg.200		S	NA
fig|31899.10.peg.201		P	Drug resistance transporter EmrB QacA
fig|31899.10.peg.202		S	NA
fig|31899.10.peg.203	K01012	H	radical SAM domain protein
fig|31899.10.peg.204	K05366	M	penicillin-binding protein 1A
fig|31899.10.peg.205	K06921	S	ATPase AAA superfamily
fig|31899.10.peg.206		L	transposase (IS4 family) protein
fig|31899.10.peg.207		L	transposase (IS4 family) protein
fig|31899.10.peg.208		L	transposase (IS4 family) protein
fig|31899.10.peg.209		S	Domain of unknown function (DUF1848)
fig|31899.10.peg.213		S	Transposase
fig|31899.10.peg.214	K16214	S	zeta toxin
fig|31899.10.peg.215	K09951	L	"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease (By similarity)"
fig|31899.10.peg.216	K15342	L	"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. May be involved in the integration of spacer DNA into the CRISPR cassette (By similarity)"
fig|31899.10.peg.217	K07464	L	crispr-associated protein Cas4
fig|31899.10.peg.218	K07012	L	CRISPR-Associated Helicase Cas3
fig|31899.10.peg.219	K19116	L	crispr-associated protein cas5
fig|31899.10.peg.220	K19115	L	CRISPR-Associated Protein
fig|31899.10.peg.221	K19114	L	CRISPR-Associated Protein
fig|31899.10.peg.231		L	Transposase
fig|31899.10.peg.232	K07491	L	Transposase
fig|31899.10.peg.235		S	NA
fig|31899.10.peg.236		S	Domain of unknown function (DUF955)
fig|31899.10.peg.237		K	Transcriptional regulator (XRE family
fig|31899.10.peg.238		S	Transposase
fig|31899.10.peg.240		S	Uncharacterised protein family (UPF0236)
fig|31899.10.peg.242	K07493	L	transposase mutator type
fig|31899.10.peg.245		S	Uncharacterised protein family (UPF0236)
fig|31899.10.peg.248		S	Transposase
fig|31899.10.peg.251		S	NA
fig|31899.10.peg.252	K07496	L	"Transposase, IS605 OrfB family"
fig|31899.10.peg.254		L	Pfam:Transposase_17
fig|31899.10.peg.255		S	Domain of unknown function (DUF1848)
fig|31899.10.peg.257	K13052	L	crispr-associated protein
fig|31899.10.peg.259	K06921	S	ATPase AAA superfamily
fig|31899.10.peg.260	K06921	S	ATPase AAA superfamily
fig|31899.10.peg.272		S	Beta-lactamase domain protein
fig|31899.10.peg.274		O	heat shock protein 70
fig|31899.10.peg.276		L	transposase (IS4 family) protein
fig|31899.10.peg.277		L	transposase (IS4 family) protein
fig|31899.10.peg.278		L	transposase (IS4 family) protein
fig|31899.10.peg.280	K20074	T	protein serine threonine phosphatase
fig|31899.10.peg.281		T	FHA
fig|31899.10.peg.282	K04068	O	"Activation of anaerobic ribonucleoside-triphosphate reductase under anaerobic conditions by generation of an organic free radical, using S-adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine (By similarity)"
fig|31899.10.peg.283		O	ATPase aaa-2 domain protein
fig|31899.10.peg.285		T	serine threonine protein kinase
fig|31899.10.peg.287		S	NA
fig|31899.10.peg.288	K19140	L	"CRISPR-associated RAMP protein, Csm5 family"
fig|31899.10.peg.289	K19139	L	"CRISPR-associated RAMP protein, Csm4 family"
fig|31899.10.peg.290	K09002	L	"CRISPR-associated RAMP protein, Csm3 family"
fig|31899.10.peg.291	K19138	L	"crispr-associated protein, csm2 family"
fig|31899.10.peg.292	K07016	L	"Crispr-associated protein, Csm1 family"
fig|31899.10.peg.294		L	Transposase
fig|31899.10.peg.295	K07491	L	Transposase
fig|31899.10.peg.297		S	NA
fig|31899.10.peg.298		S	NA
fig|31899.10.peg.306		"O, U"	Periplasmic serine protease
fig|31899.10.peg.307	K07059	S	Rhomboid family
fig|31899.10.peg.309	K13052	L	crispr-associated protein
fig|31899.10.peg.310	K19143	L	"crispr-associated protein, mj1666 family"
fig|31899.10.peg.311		S	NA
fig|31899.10.peg.312		S	NA
fig|31899.10.peg.314		S	Domain of unknown function (DUF1848)
fig|31899.10.peg.316		S	Domain of unknown function (DUF1848)
fig|31899.10.peg.323		S	NA
fig|31899.10.peg.328	K05970	S	sialic acid-specific 9-O-acetylesterase
fig|31899.10.peg.329		G	polysaccharide deacetylase
fig|31899.10.peg.330		G	hydrolase family 10
fig|31899.10.peg.331	K03581	L	"Helicase, RecD TraA family"
fig|31899.10.peg.332		S	NA
fig|31899.10.peg.333		S	NA
fig|31899.10.peg.336	K06405	S	Stage v sporulation protein ac
fig|31899.10.peg.337	K06406	S	stage V sporulation protein ad
fig|31899.10.peg.338	K06407	S	Stage v sporulation protein ae
fig|31899.10.peg.339		S	NA
fig|31899.10.peg.343	K06416	S	stage V sporulation protein S
fig|31899.10.peg.345		T	Diguanylate cyclase phosphodiesterase with PAS PAC sensor(S)
fig|31899.10.peg.346		S	NA
fig|31899.10.peg.347		S	transcriptional regulator protein-like protein
fig|31899.10.peg.349	"K02660,K03406"	S	Methyl-accepting chemotaxis
fig|31899.10.peg.350		Q	Scp-like extracellular
fig|31899.10.peg.351	K01677	C	"Hydrolyase, Fe-S type, tartrate fumarate subfamily, alpha subunit"
fig|31899.10.peg.352		S	colicin v production
fig|31899.10.peg.354	K07315	T	response regulator
fig|31899.10.peg.355		S	NA
fig|31899.10.peg.356	K03497	K	parb-like partition protein
fig|31899.10.peg.357	K03496	D	Chromosome Partitioning Protein
fig|31899.10.peg.358	K02040	P	phosphate
fig|31899.10.peg.359	K01077	P	alkaline phosphatase
fig|31899.10.peg.360	K03497	K	"Effects nucleoid occlusion by binding relatively nonspecifically to DNA and preventing the assembly of the division machinery in the vicinity of the nucleoid, especially under conditions that disturb the cell cycle. It helps to coordinate cell division and chromosome segregation by preventing the formation of the Z ring through the nucleoid, which would cause chromosome breakage (By similarity)"
fig|31899.10.peg.361	K03501	M	Specifically methylates the N7 position of a guanine in 16S rRNA (By similarity)
fig|31899.10.peg.362	K03495	D	"NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34 (By similarity)"
fig|31899.10.peg.363	K03650	S	"Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34 (By similarity)"
fig|31899.10.peg.364	K06346	S	Single-stranded nucleic acid binding R3H domain-containing protein
fig|31899.10.peg.365	K03217	U	"Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins"
fig|31899.10.peg.366	K08998	S	Could be involved in insertion of integral membrane proteins into the membrane (By similarity)
fig|31899.10.peg.367	K03536	J	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)
fig|31899.10.peg.368	K02914	J	50S ribosomal protein l34
fig|31899.10.peg.369		S	Uncharacterised protein family (UPF0236)
fig|31899.10.peg.370	"K06295,K06307"	S	spore germination protein
fig|31899.10.peg.371	K06296	S	Spore germination protein
fig|31899.10.peg.372	K06297	S	"germination protein, ger(x)c family"
fig|31899.10.peg.374	K02313	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)
fig|31899.10.peg.376	K02338	L	"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)"
fig|31899.10.peg.377	K03629	L	"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP (By similarity)"
fig|31899.10.peg.379	K02470	L	"DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)"
fig|31899.10.peg.382	K02469	L	"DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)"
fig|31899.10.peg.384		S	secreted protein
fig|31899.10.peg.388		M	YD repeat protein
fig|31899.10.peg.394	K07493	L	transposase mutator type
fig|31899.10.peg.395	K07493	L	Transposase
fig|31899.10.peg.398	K07493	L	Transposase
fig|31899.10.peg.399	K07493	L	Transposase
fig|31899.10.peg.400		L	UvrD REP helicase
fig|31899.10.peg.401	K03386	O	ec 1.11.1.15
fig|31899.10.peg.403		S	Pfam:DUF820
fig|31899.10.peg.405		S	prevent-host-death family
fig|31899.10.peg.406		S	domain protein
fig|31899.10.peg.409		S	abc transporter atp-binding protein
fig|31899.10.peg.410		Q	methyltransferase
fig|31899.10.peg.411	"K01696,K06001"	E	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)
fig|31899.10.peg.413	K03744	S	LemA family
fig|31899.10.peg.414	K06872	S	of methanol dehydrogenase type
fig|31899.10.peg.415		L	snf2 family
fig|31899.10.peg.416		S	Pfam:DUF820
fig|31899.10.peg.417	K16789	S	Proton-coupled thiamine transporter YuaJ
fig|31899.10.peg.418		S	NA
fig|31899.10.peg.419	K01990	V	ABC transporter
fig|31899.10.peg.420		S	Abc-2 type transporter
fig|31899.10.peg.421		S	NA
fig|31899.10.peg.422	K03924	S	ATPase associated with various cellular activities AAA_3
fig|31899.10.peg.423		S	Protein of unknown function DUF58
fig|31899.10.peg.424		S	"von Willebrand factor, type A"
fig|31899.10.peg.425	K07114	S	"von Willebrand factor, type A"
fig|31899.10.peg.426	K01939	F	Plays an important role in the de novo pathway of purine nucleotide biosynthesis
fig|31899.10.peg.427	K06147	V	Abc transporter
fig|31899.10.peg.428	K06147	V	Abc transporter
fig|31899.10.peg.429	K06384	S	Integral membrane protein DUF95
fig|31899.10.peg.430		S	zn-dependent hydrolase of the beta-lactamase fold-like protein
fig|31899.10.peg.431		M	O-Antigen Polymerase
fig|31899.10.peg.432	"K01992,K09690,K09692"	V	ABC-2 type transporter
fig|31899.10.peg.433	"K01990,K09691,K09693"	P	abc transporter
fig|31899.10.peg.434	K00973	M	"Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis (By similarity)"
fig|31899.10.peg.435	K01790	M	"dTDP-4-dehydrorhamnose 3,5-epimerase"
fig|31899.10.peg.436	"K01710,K08678"	M	"DTDP-glucose 4,6-dehydratase"
fig|31899.10.peg.437		M	"Glycosyl transferase, family 2"
fig|31899.10.peg.438		M	Glycosyl transferase (Group 1
fig|31899.10.peg.439	K07011	M	glycosyl transferase family
fig|31899.10.peg.440	"K00067,K01790"	M	Dtdp-4-dehydrorhamnose reductase
fig|31899.10.peg.441	K07011	M	"Glycosyl transferase, family 2"
fig|31899.10.peg.442	K03606	M	sugar transferase
fig|31899.10.peg.443		S	NA
fig|31899.10.peg.444		S	appr-1-p processing domain protein
fig|31899.10.peg.452		L	transposase (IS4 family) protein
fig|31899.10.peg.453		L	transposase (IS4 family) protein
fig|31899.10.peg.454		L	transposase (IS4 family) protein
fig|31899.10.peg.459	K07450	L	domain protein
fig|31899.10.peg.460		L	transposase
fig|31899.10.peg.461		G	Domain-Containing protein
fig|31899.10.peg.462	K01937	F	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)
fig|31899.10.peg.464	"K07657,K07658,K07668,K07776,K11329"	T	response regulator
fig|31899.10.peg.465	"K07636,K07652"	T	Histidine kinase
fig|31899.10.peg.468		S	YycH protein
fig|31899.10.peg.469	K17319	G	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.470	K17320	P	Binding-protein-dependent transport systems inner membrane component
fig|31899.10.peg.471	K17318	G	extracellular solute-binding protein family 1
fig|31899.10.peg.473	K01181	G	Endo-14-beta-xylanase
fig|31899.10.peg.476		S	Uncharacterised protein family (UPF0236)
fig|31899.10.peg.479		E	Domain of unknown function (DUF955)
fig|31899.10.peg.481	"K01443,K02079"	G	GlcNAc 6-P deacetylase
fig|31899.10.peg.482	K01201	G	hydrolase family 30
fig|31899.10.peg.483		K	AraC family transcriptional regulator
fig|31899.10.peg.484	K18581	S	Glycosyl Hydrolase Family 88
fig|31899.10.peg.485		S	Conserved Protein
fig|31899.10.peg.486	"K10543,K10820"	G	ABC transporter
fig|31899.10.peg.487	K07720	T	regulatoR
fig|31899.10.peg.488		T	Histidine kinase
fig|31899.10.peg.489	K10439	G	periplasmic
fig|31899.10.peg.490	K10543	G	ABC transporter
fig|31899.10.peg.491	"K01995,K01996,K02056,K10441,K10545,K10548"	P	ABC transporter
fig|31899.10.peg.492	"K10544,K10547"	G	ABC transporter
fig|31899.10.peg.493		S	Yip1 domain
fig|31899.10.peg.494	"K02004,K16918"	V	abc transporter permease protein
fig|31899.10.peg.495		S	NA
fig|31899.10.peg.496	"K02003,K02004,K02031,K02032"	V	"Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner (By similarity)"
fig|31899.10.peg.497	"K01992,K09696"	V	"ABC, transporter"
fig|31899.10.peg.498	K09697	P	ABC transporter
fig|31899.10.peg.502	K01990	V	ABC transporter
fig|31899.10.peg.503	K07979	K	TRANSCRIPTIONAl REGULATOR GntR family
fig|31899.10.peg.505	K19091	L	CRISPR-associated protein cas6
fig|31899.10.peg.506	K19091	L	CRISPR-associated protein cas6
fig|31899.10.peg.507	K19088	L	crispr-associated cxxc_cxxc protein cst1
fig|31899.10.peg.508	K19075	L	DevR family
fig|31899.10.peg.509	K19090	L	CRISPR-associated protein Cas5
fig|31899.10.peg.510	K07012	L	"CRISPR-associated helicase, cas3"
fig|31899.10.peg.511	K07464	L	crispr-associated protein Cas4
fig|31899.10.peg.512	K15342	L	"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. May be involved in the integration of spacer DNA into the CRISPR cassette (By similarity)"
fig|31899.10.peg.513	K09951	L	"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease (By similarity)"
fig|31899.10.peg.520		L	transposase IS116 IS110 IS902 family protein
fig|31899.10.peg.521		L	"Transposase, IS111A IS1328 IS1533"
fig|31899.10.peg.522		L	Integrase core domain
fig|31899.10.peg.523		L	IstB domain-containing protein ATP-binding protein
fig|31899.10.peg.529		L	IstB domain-containing protein ATP-binding protein
fig|31899.10.peg.531		S	NA
fig|31899.10.peg.532		S	NA
fig|31899.10.peg.533	K19134	L	Crispr-associated ramp protein
fig|31899.10.peg.534		L	Crispr-associated ramp protein
fig|31899.10.peg.535		S	NA
fig|31899.10.peg.536		L	crispr-associated protein
fig|31899.10.peg.537		S	Band 7 protein
fig|31899.10.peg.538		G	Alpha amylase catalytic
fig|31899.10.peg.539		G	polysaccharide deacetylase
fig|31899.10.peg.540		S	Nadph-dependent fmn reductase
fig|31899.10.peg.541	"K02081,K03436"	K	transcriptional regulator DeoR family
fig|31899.10.peg.542	"K00882,K00917"	G	1-phosphofructokinase
fig|31899.10.peg.543	"K02768,K02806"	G	PTS IIA-like nitrogen-regulatory protein PtsN
fig|31899.10.peg.544	"K02768,K02769,K02770,K11198,K11199,K11200"	G	PTS System
fig|31899.10.peg.545	K11189	G	phosphocarrier protein (HPr
fig|31899.10.peg.546	"K02768,K08483,K11183"	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)
fig|31899.10.peg.547	K01060	Q	acetyl xylan esterase
fig|31899.10.peg.549	"K00721,K00729"	M	"Glycosyl transferase, family 2"
fig|31899.10.peg.551		M	glycosyl transferase group 1
fig|31899.10.peg.552	K16648	M	"Glycosyl transferase, family 2"
fig|31899.10.peg.554		S	NA
fig|31899.10.peg.555		S	Protein of unknown function (DUF2752)
fig|31899.10.peg.558	K08982	S	Pfam:DUF2078
fig|31899.10.peg.559		C	Rubrerythrin
fig|31899.10.peg.560	"K03711,K09825"	P	regulator Fur family
fig|31899.10.peg.561	"K01182,K01187,K01226"	G	trehalose-6-phosphate hydrolase (EC 3.2.1.93)
fig|31899.10.peg.562	K08591	S	"Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP (By similarity)"
fig|31899.10.peg.563	K10211	M	"Glycosyl transferase, family 2"
fig|31899.10.peg.564		S	iron-only hydrogenase system regulator
fig|31899.10.peg.565	K03150	H	biosynthesis protein thiH
fig|31899.10.peg.566	K03413	T	response regulator
fig|31899.10.peg.568	"K00564,K07461,K15460"	L	Methyltransferase
fig|31899.10.peg.569	K07056	G	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA (By similarity)
fig|31899.10.peg.570	K06284	K	"Transcriptional regulator, abrb family"
fig|31899.10.peg.571		G	extracellular solute-binding protein family 1
fig|31899.10.peg.572	K02025	G	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.573		P	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.574		S	nhl repeat containing protein
fig|31899.10.peg.575		S	NA
fig|31899.10.peg.576		P	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.577	K02026	G	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.578		G	extracellular solute-binding protein family 1
fig|31899.10.peg.579	K15921	G	hydrolase family 43
fig|31899.10.peg.580	K01181	G	"endo-1,4-beta-xylanase (EC 3.2.1.8)"
fig|31899.10.peg.581	K01198	G	"Xylan 1,4-beta-xylosidase (EC 3.2.1.37)"
fig|31899.10.peg.582	K01181	G	"endo-1,4-beta-xylanase (EC 3.2.1.8)"
fig|31899.10.peg.583	K03930	S	esterase
fig|31899.10.peg.584	K01198	G	"Xylan 1,4-beta-xylosidase (EC 3.2.1.37)"
fig|31899.10.peg.585		S	Uncharacterised protein family (UPF0236)
fig|31899.10.peg.587		M	peptidase M23
fig|31899.10.peg.588	K06920	S	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)) (By similarity)
fig|31899.10.peg.589	K09022	J	endoribonuclease L-psp
fig|31899.10.peg.590		S	NA
fig|31899.10.peg.591	K03154	S	ThiamineS Protein
fig|31899.10.peg.592		D	PP-loop domain protein
fig|31899.10.peg.593	K10026	H	"Catalyzes the conversion of 6-carboxy-5,6,7,8- tetrahydropterin (CPH4) to 7-carboxy-7-deazaguanine (CDG) (By similarity)"
fig|31899.10.peg.594		S	PilT protein domain protein
fig|31899.10.peg.595		K	abrb family transcriptional regulator
fig|31899.10.peg.596		E	dehydratase
fig|31899.10.peg.597		I	coA-substrate-specific enzyme activase
fig|31899.10.peg.598		K	Transcriptional regulator
fig|31899.10.peg.599	K06147	V	ABC transporter
fig|31899.10.peg.600	K06147	V	ABC transporter
fig|31899.10.peg.602	K06934	S	Domain of unknown function (DUF296)
fig|31899.10.peg.603		S	Demethylmenaquinone methyltransferase
fig|31899.10.peg.604	K03406	S	Methyl-accepting chemotaxis sensory transducer
fig|31899.10.peg.605	K00790	M	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
fig|31899.10.peg.606	K09706	S	Conserved Protein
fig|31899.10.peg.607	K03524	H	biotin acetyl-CoA-carboxylase ligase
