rxn_id	in_Cbes_model_through_keggPsammoate	Cbes_gene_kegg	in_Cnes_model_through_CcePsammotate	Cbes_genes_cce	Cce_rxn	in_Cbes_model_through_CthPssammotate	Cbes_genes_cth	Cth_rxn	in_Cbes_model_through_TsacPsammotate	Cbes_genes_tsac	Tsac_rxn	Gene_string	Count	None
LIPO1S24_CT	False	None	False	None	None	False	None	LIPO1S24_CT	False	None	LIPO1S24_CT	None	None	None
KAS17	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS17	True	peg.1641	KAS17	peg.1641 or peg.1640 or peg.1636 or peg.1637 or peg.1635 or peg.1638 or peg.1639	peg.1641:1.0 , peg.1640:0.5 , peg.1639:0.5 , peg.1638:0.5 , peg.1637:0.5 , peg.1636:0.5 , peg.1635:0.5	None
R00722	False	None	False	None	None	False	None	R13	False	-	NDPK9	None	None	Purine metabolism
R01641	True	peg.2605 or peg.2606 or peg.2903	False	-	TKT1	True	(peg.2606 or peg.2606) and (peg.2605 or peg.2605)	TKT1	True	peg.2605	TKT1	peg.2606 or peg.2903 or peg.2605	peg.2605:1.0 , peg.2606:0.67 , peg.2903:0.33	Pentose phosphate pathway,Carbon fixation in photosynthetic organisms,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of antibiotics,Carbon metabolism,Biosynthesis of amino acids
KAS10	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS10	True	peg.1641	KAS10	peg.1641 or peg.1640 or peg.1636 or peg.1637 or peg.1635 or peg.1638 or peg.1639	peg.1641:1.0 , peg.1640:0.5 , peg.1639:0.5 , peg.1638:0.5 , peg.1637:0.5 , peg.1636:0.5 , peg.1635:0.5	None
KAS13	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS13	True	peg.1641	KAS13	peg.1641 or peg.1640 or peg.1636 or peg.1637 or peg.1635 or peg.1638 or peg.1639	peg.1641:1.0 , peg.1640:0.5 , peg.1639:0.5 , peg.1638:0.5 , peg.1637:0.5 , peg.1636:0.5 , peg.1635:0.5	None
KAS12	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS12	True	peg.1641	KAS12	peg.1641 or peg.1640 or peg.1636 or peg.1637 or peg.1635 or peg.1638 or peg.1639	peg.1641:1.0 , peg.1640:0.5 , peg.1639:0.5 , peg.1638:0.5 , peg.1637:0.5 , peg.1636:0.5 , peg.1635:0.5	None
CO2t	False	None	False	None	CO2t	False	None	CO2t	False	None	CO2t	None	None	None
R04544	True	peg.2593	True	peg.2593	3HAD160	False	None	None	False	None	None	peg.2593	peg.2593:1.0	Fatty acid biosynthesis,Metabolic pathways,Fatty acid metabolism
TECA3S45	False	None	False	None	TECA3S45	False	None	TECA3S45	False	None	TECA3S45	None	None	None
PPTGS_CC	False	None	True	(peg.1742 or peg.1767 or peg.2054) or (peg.1742 or peg.1767 or peg.2054) or (peg.1742 or peg.1767 or peg.2054)	PPTGS_CC	False	None	None	False	None	None	peg.1742 or peg.2054 or peg.1767	peg.2054:1.0 , peg.1767:1.0 , peg.1742:1.0	None
R04543	True	peg.1639	True	(peg.1152 or peg.1639 or peg.2965 or peg.611 or peg.932) or - or - or (peg.1152 or peg.1639 or peg.2965 or peg.611 or peg.932)	3OAR160	False	None	None	False	None	None	peg.611 or peg.2965 or peg.1639 or peg.932 or peg.1152	peg.1639:1.0 , peg.932:0.5 , peg.611:0.5 , peg.2965:0.5 , peg.1152:0.5	Fatty acid biosynthesis,Metabolic pathways,Fatty acid metabolism
R04014	False	None	False	-	FA120ACPHi	False	None	None	False	None	None	None	None	Fatty acid biosynthesis,Prodigiosin biosynthesis,Metabolic pathways
R04463	True	peg.1942 or peg.1943 or peg.1941	False	-	PRFGS	False	-	PRFGS	False	-	PRFGS	peg.1941 or peg.1942 or peg.1943	peg.1943:1.0 , peg.1942:1.0 , peg.1941:1.0	Purine metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of antibiotics
R02291	False	-	True	peg.1618	ASAD	True	peg.1618	ASAD	True	peg.1618	ASAD	peg.1618	peg.1618:1.0	Glycine, serine and threonine metabolism,Cysteine and methionine metabolism,Lysine biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of antibiotics,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids
KAS100iso	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS100iso	False	None	KAS100iso	peg.1641 or peg.1640 or peg.1636 or peg.1637 or peg.1635 or peg.1638 or peg.1639	peg.1641:1.0 , peg.1640:1.0 , peg.1639:1.0 , peg.1638:1.0 , peg.1637:1.0 , peg.1636:1.0 , peg.1635:1.0	None
LIPO1S24_CA	False	None	False	None	LIPO1S24_CA	False	None	None	False	None	None	None	None	None
R02296	True	peg.2286	True	peg.2286	PYNP1r	True	peg.2286	PYNP1r	True	peg.2286	PYNP1r	peg.2286	peg.2286:1.0	Pyrimidine metabolism,Metabolic pathways
R02295	True	peg.2283	False	None	None	False	None	None	False	None	None	peg.2283	peg.2283:1.0	Nicotinate and nicotinamide metabolism,Metabolic pathways
R02294	True	peg.2283	False	None	None	True	(peg.1850 or peg.2283 or peg.2293) or -	PNP	False	-	PNP	peg.2283 or peg.1850 or peg.2293	peg.2283:1.0 , peg.2293:0.5 , peg.1850:0.5	Nicotinate and nicotinamide metabolism,Metabolic pathways
R03104	True	peg.2434	True	peg.2434 or peg.2434	MCLOR	False	None	None	True	peg.2434	MCLOR	peg.2434	peg.2434:1.0	Cysteine and methionine metabolism
R01819	True	peg.1059	False	None	None	False	None	None	False	None	None	peg.1059	peg.1059:1.0	Fructose and mannose metabolism,Amino sugar and nucleotide sugar metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of antibiotics
R05549	True	peg.888 or peg.1585	False	None	None	False	None	None	False	None	None	peg.1585 or peg.888	peg.888:1.0 , peg.1585:1.0	Galactose metabolism
R04440	True	peg.935	False	None	None	False	None	None	False	None	None	peg.935	peg.935:1.0	Valine, leucine and isoleucine biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of antibiotics,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids
R00143	True	peg.1658	False	None	None	False	None	None	False	None	None	peg.1658	peg.1658:1.0	Nitrogen metabolism
R04049	True	peg.2965	False	None	None	False	None	None	False	None	None	peg.2965	peg.2965:1.0	None
CODHr	False	None	False	- and -	CODHr	False	-	CODHr	True	peg.1658	CODHr	peg.1658	peg.1658:1.0	None
R00379	True	peg.2350 or peg.376 or peg.2658 or peg.2318 or peg.945 or peg.2890 or peg.1933 or peg.2437 or peg.1749	False	None	None	False	None	None	False	None	None	peg.2318 or peg.2890 or peg.945 or peg.2437 or peg.376 or peg.1933 or peg.2658 or peg.1749 or peg.2350	peg.945:1.0 , peg.376:1.0 , peg.2890:1.0 , peg.2658:1.0 , peg.2437:1.0 , peg.2350:1.0 , peg.2318:1.0 , peg.1933:1.0 , peg.1749:1.0	None
R00066	True	peg.995	True	peg.995	RBFSb	True	peg.995 and peg.993	RBFSb	True	peg.993	RBFSb	peg.995 or peg.993	peg.995:0.75 , peg.993:0.5	Riboflavin metabolism,Metabolic pathways,Biosynthesis of secondary metabolites
CHTNASE1	False	None	False	None	None	False	None	None	False	-	CHTNASE1	None	None	None
R11312	True	peg.785	False	None	None	False	None	None	False	None	None	peg.785	peg.785:1.0	None
FACOAL180_ISO_	False	None	False	None	None	False	None	None	False	None	FACOAL180_ISO_	None	None	None
R00734	True	peg.1306 or peg.1610 or peg.1970	True	(peg.1610 or peg.1906 or peg.977) or (peg.1306 or peg.1970)	TYRTA	True	peg.1610 or (peg.1306 or peg.1970) or - or peg.1906	TYRTA	True	(peg.1610 or peg.1906 or peg.977)	TYRTA	peg.1610 or peg.977 or peg.1306 or peg.1970 or peg.1906	peg.1610:1.0 , peg.1970:0.75 , peg.1906:0.75 , peg.1306:0.75 , peg.977:0.5	Ubiquinone and other terpenoid-quinone biosynthesis,Tyrosine metabolism,Phenylalanine, tyrosine and tryptophan biosynthesis,Novobiocin biosynthesis,Isoquinoline alkaloid biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of antibiotics,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids
R04225	True	peg.1158	False	None	None	False	None	None	False	None	None	peg.1158	peg.1158:1.0	Metabolic pathways
R00377	True	peg.2350 or peg.376 or peg.2658 or peg.2318 or peg.945 or peg.2890 or peg.1933 or peg.2437 or peg.1749	False	None	None	False	None	None	False	None	None	peg.2318 or peg.2890 or peg.945 or peg.2437 or peg.376 or peg.1933 or peg.2658 or peg.1749 or peg.2350	peg.945:1.0 , peg.376:1.0 , peg.2890:1.0 , peg.2658:1.0 , peg.2437:1.0 , peg.2350:1.0 , peg.2318:1.0 , peg.1933:1.0 , peg.1749:1.0	Pyrimidine metabolism,Metabolic pathways
AGPATr_CT	False	None	False	None	None	False	None	None	False	None	AGPATr_CT	None	None	None
KAS3	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS3	True	peg.1641	KAS3	peg.1641 or peg.1640 or peg.1636 or peg.1637 or peg.1635 or peg.1638 or peg.1639	peg.1641:1.0 , peg.1640:0.5 , peg.1639:0.5 , peg.1638:0.5 , peg.1637:0.5 , peg.1636:0.5 , peg.1635:0.5	None
R02097	True	peg.962	False	None	None	False	None	None	False	None	None	peg.962	peg.962:1.0	Pyrimidine metabolism,Metabolic pathways
R03527	True	peg.2930 or peg.878	False	None	None	False	None	None	False	None	None	peg.2930 or peg.878	peg.878:1.0 , peg.2930:1.0	Starch and sucrose metabolism
R02096	True	peg.962	False	None	None	False	None	None	False	None	None	peg.962	peg.962:1.0	Pyrimidine metabolism,Metabolic pathways
R01103	True	peg.888 or peg.1585	True	peg.1585 or peg.1585 or -	RAFGH	False	None	None	False	None	None	peg.1585 or peg.888	peg.1585:1.0 , peg.888:0.5	Galactose metabolism
R01001	False	None	False	None	None	True	(peg.1606 or peg.1675) or (peg.1606 or peg.1675)	CYSTGL	True	(peg.1606 or peg.1675)	CYSTGL	peg.1606 or peg.1675	peg.1675:1.0 , peg.1606:1.0	Glycine, serine and threonine metabolism,Cysteine and methionine metabolism,Metabolic pathways,Biosynthesis of antibiotics,Biosynthesis of amino acids
R01000	True	peg.2434	True	peg.2434 or peg.2434	2HBO	True	peg.2434 or -	2HBO	True	peg.2434	2HBO	peg.2434	peg.2434:1.0	Propanoate metabolism
R01166	False	None	False	None	None	False	-	NBAHH	False	None	None	None	None	Histidine metabolism,beta-Alanine metabolism,Metabolic pathways
R01167	False	None	False	None	None	False	-	HISDC	False	None	None	None	None	Histidine metabolism,Metabolic pathways,Biosynthesis of secondary metabolites
R00275	False	None	False	None	None	False	None	None	False	-	SPODM	None	None	None
FACOAL141	False	None	False	None	None	False	-	FACOAL141	False	None	FACOAL141	None	None	None
R01163	True	peg.1971	False	None	None	False	None	None	False	None	None	peg.1971	peg.1971:1.0	Histidine metabolism,Metabolic pathways,Biosynthesis of secondary metabolites
R00321	False	None	False	None	None	True	peg.1219	AMID4	True	peg.1219	AMID4	peg.1219	peg.1219:1.0	None
R03815	True	peg.1157	False	None	None	False	None	None	False	None	None	peg.1157	peg.1157:1.0	Glycine, serine and threonine metabolism
GLCS1	False	None	False	None	GLCS1	True	peg.987 or peg.987	GLCS1	True	(peg.2053 or peg.2612 or peg.631)	GLCS1	peg.2612 or peg.987 or peg.2053 or peg.631	peg.987:0.5 , peg.631:0.5 , peg.2612:0.5 , peg.2053:0.5	None
LYSt2r	False	None	False	None	None	False	None	LYSt2r	False	None	None	None	None	None
R04268	True	peg.1520	False	None	None	False	None	None	False	None	None	peg.1520	peg.1520:1.0	None
R06590	True	peg.2605 or peg.2606 or peg.2903	False	None	None	False	None	None	False	None	None	peg.2606 or peg.2903 or peg.2605	peg.2903:1.0 , peg.2606:1.0 , peg.2605:1.0	Biosynthesis of ansamycins,Biosynthesis of antibiotics
R07605	True	peg.199	False	None	None	False	None	None	False	None	None	peg.199	peg.199:1.0	Folate biosynthesis,Metabolic pathways
R08614	True	peg.625	False	None	None	False	None	None	False	None	None	peg.625	peg.625:1.0	None
R00900	False	-	False	None	None	False	None	None	False	None	None	None	None	Cysteine and methionine metabolism
R10813	True	peg.2226 or peg.1263 or peg.1517 or peg.1264	False	None	None	False	None	None	False	None	None	peg.1517 or peg.1264 or peg.2226 or peg.1263	peg.2226:1.0 , peg.1517:1.0 , peg.1264:1.0 , peg.1263:1.0	None
R10810	True	peg.94	False	None	None	False	None	None	False	None	None	peg.94	peg.94:1.0	None
R10811	True	peg.92	False	None	None	False	None	None	False	None	None	peg.92	peg.92:1.0	None
EXCH_k_c	False	None	False	None	None	False	None	None	False	None	EXCH_k_c	None	None	None
R03460	True	peg.1303	True	peg.1303	PSCVT	True	peg.1303 or peg.1303	PSCVTi	True	peg.1303	PSCVTi	peg.1303	peg.1303:1.0	Phenylalanine, tyrosine and tryptophan biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of antibiotics,Biosynthesis of amino acids
R01762	True	- or peg.1584	True	- or peg.1584 or peg.1584 or - or -	LAAF	False	None	None	False	None	None	peg.1584	peg.1584:1.0	Amino sugar and nucleotide sugar metabolism
R07759	True	peg.1639	False	None	None	False	None	None	False	None	None	peg.1639	peg.1639:1.0	Biosynthesis of unsaturated fatty acids,Fatty acid metabolism
R01761	False	None	False	-	ARAI	False	None	None	False	None	None	None	None	Pentose and glucuronate interconversions,Metabolic pathways
SPMDabc	False	None	False	None	None	False	- and - and - and peg.2315	SPMDabc	True	(peg.1029 or peg.1054 or peg.125 or peg.1310 or peg.2577 or peg.2600 or peg.2629 or peg.2643 or peg.2906 or peg.2955 or peg.469 or peg.572 or peg.815 or peg.90)	SPMDabc	peg.2629 or peg.125 or peg.2315 or peg.1054 or peg.2577 or peg.2955 or peg.2600 or peg.2906 or peg.469 or peg.572 or peg.90 or peg.2643 or peg.1029 or peg.815 or peg.1310	peg.90:0.5 , peg.815:0.5 , peg.572:0.5 , peg.469:0.5 , peg.2955:0.5 , peg.2906:0.5 , peg.2643:0.5 , peg.2629:0.5 , peg.2600:0.5 , peg.2577:0.5 , peg.2315:0.5 , peg.1310:0.5 , peg.125:0.5 , peg.1054:0.5 , peg.1029:0.5	None
R01227	False	None	False	-	NTD9	False	-	NTD9	False	None	None	None	None	Purine metabolism,Metabolic pathways
CYTK12	False	None	False	None	None	False	None	None	True	peg.1813	CYTK12	peg.1813	peg.1813:1.0	None
R01482	True	peg.1896	True	peg.1896 or peg.1896	GUI1	False	None	None	False	None	None	peg.1896	peg.1896:1.0	Pentose and glucuronate interconversions,Metabolic pathways
CYTK10	False	None	False	None	None	False	None	None	True	peg.1813	CYTK10	peg.1813	peg.1813:1.0	None
CYTK11	False	None	False	None	None	False	None	None	True	peg.1813	CYTK11	peg.1813	peg.1813:1.0	None
THRt2r	False	None	False	None	None	False	None	THRt2r	False	None	None	None	None	None
R08550	True	peg.1157	False	None	None	False	None	None	False	None	None	peg.1157	peg.1157:1.0	None
CYTK14	False	None	False	None	None	False	None	None	True	peg.1813	CYTK14	peg.1813	peg.1813:1.0	None
R00470	True	peg.2968	True	peg.2968 or -	DDPGA	True	peg.1804 and peg.1806 and peg.1807	DDPGA	True	peg.1804	DDPGA	peg.1806 or peg.1804 or peg.1807 or peg.2968	peg.2968:0.5 , peg.1804:0.5 , peg.1807:0.25 , peg.1806:0.25	Glyoxylate and dicarboxylate metabolism
R06080	True	peg.561	False	None	None	False	None	None	False	None	None	peg.561	peg.561:1.0	None
R00742	False	None	False	- and - and - and - and -	ACCOAC	False	None	None	True	peg.1804	ACCOAC	peg.1804	peg.1804:1.0	Fatty acid biosynthesis,Aflatoxin biosynthesis,Pyruvate metabolism,Propanoate metabolism,Carbon fixation pathways in prokaryotes,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of antibiotics,Carbon metabolism,Fatty acid metabolism
R01718	True	peg.561	False	None	None	False	None	None	False	None	None	peg.561	peg.561:1.0	Starch and sucrose metabolism
R01268	False	None	False	None	None	False	None	NNAM	False	-	NNAM	None	None	Nicotinate and nicotinamide metabolism,Metabolic pathways
R01827	True	peg.1982	False	None	None	False	None	None	False	None	None	peg.1982	peg.1982:1.0	Pentose phosphate pathway,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of antibiotics,Carbon metabolism,Biosynthesis of amino acids
L-LACD2	False	None	False	-	L-LACD2	False	None	None	False	None	None	None	None	None
L-LACD3	False	None	False	-	L-LACD3	False	None	None	False	None	None	None	None	None
R00552	False	None	False	-	ARGD	False	None	None	False	None	None	None	None	Arginine biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of antibiotics
R03659	True	peg.718	False	None	None	True	peg.718	METTRS	False	None	None	peg.718	peg.718:1.0	Aminoacyl-tRNA biosynthesis
R01466	True	peg.1097	True	peg.1097	THRS	True	peg.1097	THRS	False	-	THRS	peg.1097	peg.1097:1.0	Glycine, serine and threonine metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of amino acids
R02984	True	peg.1631 or peg.1410	False	None	None	False	None	None	False	None	None	peg.1410 or peg.1631	peg.1631:1.0 , peg.1410:1.0	None
R05086	True	peg.1097	False	None	None	False	None	None	False	None	None	peg.1097	peg.1097:1.0	Vitamin B6 metabolism
R05085	False	None	False	None	None	False	-	OHPBAT	False	None	None	None	None	Vitamin B6 metabolism,Metabolic pathways
TRPt2	False	None	False	-	TRPt2	False	None	None	False	None	None	None	None	None
R03601	True	peg.2123	False	None	None	False	None	None	False	None	None	peg.2123	peg.2123:1.0	None
R00490	True	peg.895	False	None	None	False	None	None	False	None	None	peg.895	peg.895:1.0	Alanine, aspartate and glutamate metabolism,Metabolic pathways
R00996	False	None	False	None	THRD_L	False	None	None	False	None	None	None	None	Glycine, serine and threonine metabolism,Valine, leucine and isoleucine biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of antibiotics,Biosynthesis of amino acids
R00994	True	peg.2650	False	None	None	False	None	None	False	None	None	peg.2650	peg.2650:1.0	Valine, leucine and isoleucine biosynthesis,C5-Branched dibasic acid metabolism,Metabolic pathways,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids
R00995	True	peg.1807	False	None	None	False	None	None	False	None	None	peg.1807	peg.1807:1.0	C5-Branched dibasic acid metabolism
R09942	True	peg.879	False	None	None	False	None	None	False	None	None	peg.879	peg.879:1.0	Amino sugar and nucleotide sugar metabolism
R02869	True	peg.1802	False	None	None	False	None	None	False	None	None	peg.1802	peg.1802:1.0	Cysteine and methionine metabolism,Arginine and proline metabolism,beta-Alanine metabolism,Glutathione metabolism,Metabolic pathways
39	False	None	False	None	39	False	None	None	False	None	None	None	None	None
