Rep_gene	most_common_function	function_proportion	count_result
fig|31899.10.peg.2836|SAMN05216182_2589	ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	1.0	Counter({'ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)': 8})
fig|632516.3.peg.499|CallaDRAFT_0478	Efflux ABC transporter, permease/ATP-binding protein YfiB	1.0	Counter({'Efflux ABC transporter, permease/ATP-binding protein YfiB': 1})
fig|31899.10.peg.3123|SAMN05216182_2849	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|632335.8.peg.2478|Calkr_2289	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2805|Csac_2595	DNA-methyltransferase	1.0	Counter({'DNA-methyltransferase': 1})
fig|632516.3.peg.322	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|351627.8.peg.1300|Csac_1157	Transposase	1.0	Counter({'Transposase': 1})
fig|632518.3.peg.2305|Calow_2148	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|31899.10.peg.765	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.1535	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|1121259.3.peg.1534	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|351627.8.peg.2072	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.2071	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.811|Csac_0706	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	1.0	Counter({'Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)': 12})
fig|31899.10.peg.533|SAMN05216182_0392	CRISPR-associated RAMP FIG00530360 A / CRISPR-associated RAMP, Csx10 family	1.0	Counter({'CRISPR-associated RAMP FIG00530360 A / CRISPR-associated RAMP, Csx10 family': 3})
fig|632516.3.peg.2145|CallaDRAFT_2068	DNA polymerase III beta subunit (EC 2.7.7.7)	1.0	Counter({'DNA polymerase III beta subunit (EC 2.7.7.7)': 12})
fig|608506.3.peg.15|COB47_0015	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.479|CallaDRAFT_0460	Tryptophan synthase (indole-salvaging) (EC 4.2.1.122)	1.0	Counter({'Tryptophan synthase (indole-salvaging) (EC 4.2.1.122)': 2})
fig|31899.10.peg.217|SAMN05216182_0137	CRISPR-associated RecB family exonuclease Cas4	1.0	Counter({'CRISPR-associated RecB family exonuclease Cas4': 7})
fig|632292.3.peg.550|Calhy_0504	D-mannonate oxidoreductase (EC 1.1.1.57)	1.0	Counter({'D-mannonate oxidoreductase (EC 1.1.1.57)': 1})
fig|632348.3.peg.282	Mll2627 protein	1.0	Counter({'Mll2627 protein': 1})
fig|632348.3.peg.551	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.552	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1422|CallaDRAFT_1360	Sulfur carrier protein ThiS	1.0	Counter({'Sulfur carrier protein ThiS': 12})
fig|632292.3.peg.715	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.193	Regulatory protein ArsR	1.0	Counter({'Regulatory protein ArsR': 1})
fig|1214564.3.peg.194	Uncharacterized membrane spanning protein, contains VanZ-like domain	1.0	Counter({'Uncharacterized membrane spanning protein, contains VanZ-like domain': 1})
fig|1214564.3.peg.199	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1796	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1797	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|1387555.3.peg.1794	Flagellar protein FlaG	1.0	Counter({'Flagellar protein FlaG': 12})
fig|1387555.3.peg.1795	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1798	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1799	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.2467	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387557.3.peg.2466	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.880	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.338	Transposase, mutator type	1.0	Counter({'Transposase, mutator type': 1})
fig|351627.8.peg.543|Csac_0471	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.184	Mucin 2 precursor	1.0	Counter({'Mucin 2 precursor': 1})
fig|31899.10.peg.185	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.1752|Calkr_1621	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|31899.10.peg.180	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.182	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.189	Peptidase M48, Ste24p	1.0	Counter({'Peptidase M48, Ste24p': 1})
fig|31899.10.peg.1431|SAMN05216182_1231	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.1844	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.1845	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.1846	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.1847	DNA-binding protein	1.0	Counter({'DNA-binding protein': 1})
fig|1387557.3.peg.1843	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	1.0	Counter({'Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)': 1})
fig|1387555.3.peg.1420	Glycyl-tRNA synthetase (EC 6.1.1.14)	1.0	Counter({'Glycyl-tRNA synthetase (EC 6.1.1.14)': 12})
fig|1387555.3.peg.1421	Pyruvate,phosphate dikinase (EC 2.7.9.1)	1.0	Counter({'Pyruvate,phosphate dikinase (EC 2.7.9.1)': 12})
fig|632335.8.peg.734	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1424	Phosphoglycerate kinase (EC 2.7.2.3) / Triosephosphate isomerase (EC 5.3.1.1)	1.0	Counter({'Phosphoglycerate kinase (EC 2.7.2.3) / Triosephosphate isomerase (EC 5.3.1.1)': 12})
fig|632292.3.peg.2709|Calhy_2578	DUF324 domain containing Cmr2-like protein	0.666666666667	Counter({'DUF324 domain containing Cmr2-like protein': 2, 'hypothetical protein': 1})
fig|1387555.3.peg.1426	Enolase (EC 4.2.1.11)	1.0	Counter({'Enolase (EC 4.2.1.11)': 13})
fig|1387555.3.peg.1428	hypothetical protein	1.0	Counter({'hypothetical protein': 11})
fig|632516.3.peg.1154|CallaDRAFT_1095	Vitamin B12 ABC transporter, substrate-binding protein BtuF	1.0	Counter({'Vitamin B12 ABC transporter, substrate-binding protein BtuF': 12})
fig|632516.3.peg.1244|CallaDRAFT_1189	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 10})
fig|1387557.3.peg.2799	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.3122|SAMN05216182_2848	hypothetical protein	1.0	Counter({'hypothetical protein': 7})
fig|632335.8.peg.695|Calkr_0621	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	1.0	Counter({'Nicotinate phosphoribosyltransferase (EC 6.3.4.21)': 5})
fig|632335.8.peg.1492|Calkr_1370	Dihydroorotase (EC 3.5.2.3)	1.0	Counter({'Dihydroorotase (EC 3.5.2.3)': 11})
fig|632348.3.peg.2313	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.821|COB47_0747	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2317	Serine-protein kinase RsbW (EC 2.7.11.1)	1.0	Counter({'Serine-protein kinase RsbW (EC 2.7.11.1)': 1})
fig|1214564.3.peg.732	Hemerythrin domain protein	1.0	Counter({'Hemerythrin domain protein': 12})
fig|351627.8.peg.1323|Csac_1179	Transposase	1.0	Counter({'Transposase': 1})
fig|632292.3.peg.133|Calhy_0124	Serine-protein kinase RsbW (EC 2.7.11.1)	1.0	Counter({'Serine-protein kinase RsbW (EC 2.7.11.1)': 13})
fig|31899.10.peg.2510	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1419	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2516	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2517	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2514	Transcriptional regulator, Xre family	1.0	Counter({'Transcriptional regulator, Xre family': 1})
fig|31899.10.peg.2518	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.1458|Calkro_1377	Chorismate mutase II (EC 5.4.99.5)	1.0	Counter({'Chorismate mutase II (EC 5.4.99.5)': 12})
fig|632348.3.peg.604	Transposase	1.0	Counter({'Transposase': 1})
fig|632518.3.peg.901|Calow_0833	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.1099|COB47_1005	Ribosomal protein L11 methyltransferase	1.0	Counter({'Ribosomal protein L11 methyltransferase': 12})
fig|632292.3.peg.442|Calhy_0405	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2826|CallaDRAFT_2759	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632348.3.peg.1993	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2269	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.444|Calhy_0407	restriction endonuclease (HaeIII)	1.0	Counter({'restriction endonuclease (HaeIII)': 1})
fig|608506.3.peg.2209|COB47_2068	Transposase for IS652	0.5	Counter({'Transposase for IS652': 1, 'Mobile element protein': 1})
fig|632516.3.peg.157|CallaDRAFT_0156	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.245|Calkro_0231	Glutamine--fructose-6-phosphate aminotransferase	1.0	Counter({'Glutamine--fructose-6-phosphate aminotransferase': 12})
fig|1387555.3.peg.1883	RNA-binding protein YhbY	1.0	Counter({'RNA-binding protein YhbY': 12})
fig|1387555.3.peg.1880	beta-lactamase domain protein	0.75	Counter({'beta-lactamase domain protein': 9, 'Metal-dependent hydrolase': 3})
fig|1387555.3.peg.1881	Homoserine O-acetyltransferase (EC 2.3.1.31)	1.0	Counter({'Homoserine O-acetyltransferase (EC 2.3.1.31)': 12})
fig|1387555.3.peg.1886	LSU ribosomal protein L27p	1.0	Counter({'LSU ribosomal protein L27p': 11})
fig|1387555.3.peg.1887	FIG139598: Potential ribosomal protein	1.0	Counter({'FIG139598: Potential ribosomal protein': 11})
fig|632292.3.peg.457|Calhy_0420	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.828|Calhy_0768	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.554|Calhy_0508	Oxidoreductase, short-chain dehydrogenase/reductase family	1.0	Counter({'Oxidoreductase, short-chain dehydrogenase/reductase family': 1})
fig|1387555.3.peg.145	hypothetical protein	0.8	Counter({'hypothetical protein': 4, 'mRNA interferase RelE': 1})
fig|1387555.3.peg.147	Cation transporter	1.0	Counter({'Cation transporter': 1})
fig|1387555.3.peg.146	hypothetical protein	1.0	Counter({'hypothetical protein': 7})
fig|1387555.3.peg.141	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase (EC 2.1.1.219)	1.0	Counter({'tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase (EC 2.1.1.219)': 12})
fig|1387555.3.peg.140	CBS domain protein	0.583333333333	Counter({'CBS domain protein': 7, 'putative signal-transduction protein with CBS domains': 5})
fig|632518.3.peg.904|Calow_0836	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2660	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1319|CallaDRAFT_1260	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.177|Calkro_0169	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
fig|632516.3.peg.341|CallaDRAFT_0338	Putative predicted metal-dependent hydrolase	1.0	Counter({'Putative predicted metal-dependent hydrolase': 10})
fig|632516.3.peg.1691|CallaDRAFT_1626	FIG00468852: hypothetical protein	0.909090909091	Counter({'FIG00468852: hypothetical protein': 10, 'Uncharacterized MFS-type transporter': 1})
fig|632518.3.peg.1298|Calow_1212	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.519	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 1})
fig|1121259.3.peg.516	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.2461	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.390	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.391	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.1180|Calow_1098	Cell division topological specificity factor MinE	1.0	Counter({'Cell division topological specificity factor MinE': 12})
fig|31899.10.peg.2621|SAMN05216182_2385	Transcriptional regulator, LacI family	1.0	Counter({'Transcriptional regulator, LacI family': 9})
fig|632516.3.peg.461|CallaDRAFT_0445	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|31899.10.peg.964|SAMN05216182_0795	Pyridine nucleotide-disulfide oxidoreductase; NADH dehydrogenase (EC 1.6.99.3)	1.0	Counter({'Pyridine nucleotide-disulfide oxidoreductase; NADH dehydrogenase (EC 1.6.99.3)': 12})
fig|632335.8.peg.1672	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.2120|COB47_1983	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|632292.3.peg.854|Calhy_0793	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1077|Csac_0953	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|608506.3.peg.1921	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.2387|COB47_2220	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|608506.3.peg.2471|COB47_2279	Transposase	1.0	Counter({'Transposase': 1})
fig|608506.3.peg.1924	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1468	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1460	FIG003573: hypothetical protein	1.0	Counter({'FIG003573: hypothetical protein': 12})
fig|632348.3.peg.96|Calkro_0093	histidine kinase internal region	1.0	Counter({'histidine kinase internal region': 3})
fig|608506.3.peg.2374|COB47_2207	Two-component transcriptional response regulator, LuxR family	1.0	Counter({'Two-component transcriptional response regulator, LuxR family': 2})
fig|632518.3.peg.555	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.1482|Calkr_1360	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.2887|SAMN05216182_2634	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.766|CallaDRAFT_0743	FIG017108: hypothetical protein	1.0	Counter({'FIG017108: hypothetical protein': 12})
fig|1214564.3.peg.1752	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.1907	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1815|Csac_1648	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632516.3.peg.1914|CallaDRAFT_1844	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.519	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.518	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.55	Methionine ABC transporter ATP-binding protein	1.0	Counter({'Methionine ABC transporter ATP-binding protein': 5})
